"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Signaling by VEGF","10.58%","11","104","108","11494","4.01e-8","2.34e-6","11.26","3.98e-5","1.81e-6","3.24e-9"
"REACTOME_PATHWAY","CD28 dependent PI3K/Akt signaling","6.73%","7","104","27","11494","1.14e-7","6.27e-6","28.65","1.13e-4","4.85e-6","3.10e-9"
"REACTOME_PATHWAY","Co-stimulation by CD28","7.69%","8","104","47","11494","1.77e-7","9.16e-6","18.81","1.76e-4","7.09e-6","8.04e-9"
"REACTOME_PATHWAY","GPCR downstream signalling","21.15%","22","104","641","11494","1.85e-7","9.16e-6","3.79","1.83e-4","7.09e-6","4.69e-8"
"REACTOME_PATHWAY","Signaling by GPCR","22.12%","23","104","716","11494","2.72e-7","1.29e-5","3.55","2.70e-4","9.94e-6","7.40e-8"
"REACTOME_PATHWAY","Signaling by NTRKs","10.58%","11","104","133","11494","2.90e-7","1.31e-5","9.14","2.88e-4","1.01e-5","2.94e-8"
"REACTOME_PATHWAY","Cellular responses to stimuli","25.00%","26","104","919","11494","3.61e-7","1.56e-5","3.13","3.58e-4","1.21e-5","1.12e-7"
"REACTOME_PATHWAY","MAPK1 (ERK2) activation","4.81%","5","104","8","11494","4.14e-7","1.71e-5","69.07","4.11e-4","1.33e-5","3.02e-9"
"REACTOME_PATHWAY","Regulation of T cell activation by CD28 family","8.65%","9","104","82","11494","6.51e-7","2.59e-5","12.13","6.47e-4","2.00e-5","4.85e-8"
"REACTOME_PATHWAY","ESR-mediated signaling","12.50%","13","104","223","11494","6.84e-7","2.61e-5","6.44","6.79e-4","2.02e-5","1.00e-7"
"REACTOME_PATHWAY","MAPK3 (ERK1) activation","4.81%","5","104","9","11494","7.40e-7","2.72e-5","61.40","7.35e-4","2.11e-5","6.74e-9"
"REACTOME_PATHWAY","RAF/MAP kinase cascade","13.46%","14","104","269","11494","7.74e-7","2.75e-5","5.75","7.68e-4","2.12e-5","1.28e-7"
"REACTOME_PATHWAY","RAF-independent MAPK1/3 activation","5.77%","6","104","22","11494","1.22e-6","4.19e-5","30.14","1.21e-3","3.24e-5","3.15e-8"
"REACTOME_PATHWAY","Axon guidance","18.27%","19","104","544","11494","1.38e-6","4.57e-5","3.86","1.37e-3","3.53e-5","3.44e-7"
"REACTOME_PATHWAY","Cytokine Signaling in Immune system","22.12%","23","104","801","11494","1.81e-6","5.80e-5","3.17","1.80e-3","4.49e-5","5.53e-7"
"REACTOME_PATHWAY","Neurotransmitter clearance","4.81%","5","104","11","11494","1.91e-6","5.93e-5","50.24","1.90e-3","4.59e-5","2.44e-8"
"REACTOME_PATHWAY","Signaling by Nuclear Receptors","13.46%","14","104","297","11494","2.35e-6","7.00e-5","5.21","2.33e-3","5.41e-5","4.29e-7"
"REACTOME_PATHWAY","Interleukin-2 family signaling","6.73%","7","104","44","11494","2.40e-6","7.00e-5","17.58","2.38e-3","5.41e-5","1.18e-7"
"REACTOME_PATHWAY","Nervous system development","18.27%","19","104","569","11494","2.62e-6","7.42e-5","3.69","2.59e-3","5.74e-5","6.83e-7"
"REACTOME_PATHWAY","Erythropoietin activates Phosphoinositide-3-kinase (PI3K)","4.81%","5","104","12","11494","2.85e-6","7.86e-5","46.05","2.83e-3","6.08e-5","4.15e-8"
"REACTOME_PATHWAY","Interleukin receptor SHC signaling","5.77%","6","104","27","11494","3.62e-6","9.71e-5","24.56","3.59e-3","7.51e-5","1.20e-7"
"REACTOME_PATHWAY","Platelet activation, signaling and aggregation","12.50%","13","104","266","11494","4.34e-6","1.13e-4","5.40","4.30e-3","8.77e-5","7.63e-7"
"REACTOME_PATHWAY","Interleukin-3, Interleukin-5 and GM-CSF signaling","6.73%","7","104","50","11494","5.16e-6","1.31e-4","15.47","5.11e-3","1.02e-4","2.94e-7"
"REACTOME_PATHWAY","Nuclear Receptor transcription pathway","6.73%","7","104","52","11494","6.52e-6","1.58e-4","14.88","6.45e-3","1.22e-4","3.88e-7"
"REACTOME_PATHWAY","Insulin receptor signalling cascade","6.73%","7","104","52","11494","6.52e-6","1.58e-4","14.88","6.45e-3","1.22e-4","3.88e-7"
"REACTOME_PATHWAY","Interleukin-4 and Interleukin-13 signaling","8.65%","9","104","112","11494","6.97e-6","1.62e-4","8.88","6.90e-3","1.25e-4","7.27e-7"
"REACTOME_PATHWAY","Signaling by Insulin receptor","7.69%","8","104","80","11494","7.02e-6","1.62e-4","11.05","6.95e-3","1.25e-4","5.79e-7"
"REACTOME_PATHWAY","Signaling by NTRK1 (TRKA)","8.65%","9","104","114","11494","7.95e-6","1.79e-4","8.73","7.86e-3","1.39e-4","8.45e-7"
"REACTOME_PATHWAY","Regulation of TP53 Activity","9.62%","10","104","161","11494","1.35e-5","2.99e-4","6.86","1.33e-2","2.31e-4","1.85e-6"
"REACTOME_PATHWAY","GPVI-mediated activation cascade","5.77%","6","104","36","11494","1.58e-5","3.42e-4","18.42","1.56e-2","2.65e-4","7.42e-7"
"REACTOME_PATHWAY","Regulation of TP53 Activity through Phosphorylation","7.69%","8","104","92","11494","1.77e-5","3.75e-4","9.61","1.75e-2","2.90e-4","1.70e-6"
"REACTOME_PATHWAY","Signaling by LTK in cancer","3.85%","4","104","7","11494","2.38e-5","4.93e-4","63.15","2.34e-2","3.81e-4","2.17e-7"
"REACTOME_PATHWAY","Signal transduction by L1","4.81%","5","104","20","11494","2.64e-5","5.35e-4","27.63","2.59e-2","4.14e-4","7.66e-7"
"REACTOME_PATHWAY","Generic Transcription Pathway","25.96%","27","104","1267","11494","3.68e-5","7.21e-4","2.36","3.59e-2","5.58e-4","1.52e-5"
"REACTOME_PATHWAY","Cellular responses to mechanical stimuli","7.69%","8","104","103","11494","3.70e-5","7.21e-4","8.58","3.61e-2","5.58e-4","4.00e-6"
"REACTOME_PATHWAY","IFNG signaling activates MAPKs","3.85%","4","104","8","11494","3.79e-5","7.23e-4","55.26","3.69e-2","5.59e-4","4.31e-7"
"REACTOME_PATHWAY","Transcriptional regulation by RUNX2","7.69%","8","104","107","11494","4.73e-5","8.87e-4","8.26","4.59e-2","6.86e-4","5.33e-6"
"REACTOME_PATHWAY","Phase I - Functionalization of compounds","7.69%","8","104","109","11494","5.33e-5","9.80e-4","8.11","5.15e-2","7.58e-4","6.12e-6"
"REACTOME_PATHWAY","RUNX2 regulates osteoblast differentiation","4.81%","5","104","24","11494","5.63e-5","9.83e-4","23.02","5.44e-2","7.61e-4","2.04e-6"
"REACTOME_PATHWAY","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","4.81%","5","104","24","11494","5.63e-5","9.83e-4","23.02","5.44e-2","7.61e-4","2.04e-6"
"REACTOME_PATHWAY","Biosynthesis of maresins","3.85%","4","104","9","11494","5.65e-5","9.83e-4","49.12","5.45e-2","7.61e-4","7.70e-7"
"REACTOME_PATHWAY","Fcgamma receptor (FCGR) dependent phagocytosis","8.65%","9","104","152","11494","6.40e-5","1.10e-3","6.54","6.16e-2","8.47e-4","9.20e-6"
"REACTOME_PATHWAY","Interleukin-20 family signaling","4.81%","5","104","25","11494","6.66e-5","1.10e-3","22.10","6.40e-2","8.52e-4","2.53e-6"
"REACTOME_PATHWAY","Signaling by Erythropoietin","4.81%","5","104","25","11494","6.66e-5","1.10e-3","22.10","6.40e-2","8.52e-4","2.53e-6"
"REACTOME_PATHWAY","Activation of the AP-1 family of transcription factors","3.85%","4","104","10","11494","8.01e-5","1.30e-3","44.21","7.65e-2","1.01e-3","1.27e-6"
"REACTOME_PATHWAY","Interleukin-6 signaling","3.85%","4","104","11","11494","1.09e-4","1.75e-3","40.19","1.03e-1","1.36e-3","1.99e-6"
"REACTOME_PATHWAY","Metabolism of lipids","18.27%","19","104","760","11494","1.27e-4","2.00e-3","2.76","1.19e-1","1.55e-3","4.43e-5"
"REACTOME_PATHWAY","Co-stimulation by ICOS","3.85%","4","104","12","11494","1.45e-4","2.21e-3","36.84","1.34e-1","1.71e-3","2.96e-6"
"REACTOME_PATHWAY","Frs2-mediated activation","3.85%","4","104","12","11494","1.45e-4","2.21e-3","36.84","1.34e-1","1.71e-3","2.96e-6"
"REACTOME_PATHWAY","Signaling by ALK in cancer","6.73%","7","104","90","11494","1.52e-4","2.25e-3","8.60","1.40e-1","1.74e-3","1.64e-5"
"REACTOME_PATHWAY","Signaling by ALK fusions and activated point mutants","6.73%","7","104","90","11494","1.52e-4","2.25e-3","8.60","1.40e-1","1.74e-3","1.64e-5"
"REACTOME_PATHWAY","Signaling by CSF1 (M-CSF) in myeloid cells","4.81%","5","104","31","11494","1.59e-4","2.28e-3","17.83","1.46e-1","1.77e-3","7.76e-6"
"REACTOME_PATHWAY","MAPK targets/ Nuclear events mediated by MAP kinases","4.81%","5","104","31","11494","1.59e-4","2.28e-3","17.83","1.46e-1","1.77e-3","7.76e-6"
"REACTOME_PATHWAY","Cellular response to heat stress","6.73%","7","104","91","11494","1.61e-4","2.28e-3","8.50","1.48e-1","1.77e-3","1.76e-5"
"REACTOME_PATHWAY","RNA Polymerase II Transcription","25.96%","27","104","1390","11494","1.74e-4","2.43e-3","2.15","1.59e-1","1.88e-3","7.86e-5"
"REACTOME_PATHWAY","RHO GTPase Effectors","11.54%","12","104","331","11494","1.79e-4","2.44e-3","4.01","1.63e-1","1.88e-3","4.28e-5"
"REACTOME_PATHWAY","RUNX2 regulates bone development","4.81%","5","104","32","11494","1.80e-4","2.44e-3","17.27","1.64e-1","1.88e-3","9.13e-6"
"REACTOME_PATHWAY","Response of endothelial cells to shear stress","6.73%","7","104","93","11494","1.82e-4","2.44e-3","8.32","1.65e-1","1.88e-3","2.03e-5"
"REACTOME_PATHWAY","Signalling to ERKs","4.81%","5","104","33","11494","2.04e-4","2.70e-3","16.75","1.83e-1","2.09e-3","1.07e-5"
"REACTOME_PATHWAY","Infectious disease","22.12%","23","104","1094","11494","2.26e-4","2.95e-3","2.32","2.01e-1","2.28e-3","9.39e-5"
"REACTOME_PATHWAY","Prolonged ERK activation events","3.85%","4","104","14","11494","2.37e-4","3.05e-3","31.58","2.10e-1","2.36e-3","5.91e-6"
"REACTOME_PATHWAY","Cellular responses to stress","18.27%","19","104","808","11494","2.72e-4","3.46e-3","2.60","2.37e-1","2.68e-3","1.01e-4"
"REACTOME_PATHWAY","RHO GTPases Activate WASPs and WAVEs","4.81%","5","104","36","11494","2.87e-4","3.57e-3","15.35","2.48e-1","2.76e-3","1.66e-5"
"REACTOME_PATHWAY","Regulation of TP53 Degradation","4.81%","5","104","36","11494","2.87e-4","3.57e-3","15.35","2.48e-1","2.76e-3","1.66e-5"
"REACTOME_PATHWAY","Spry regulation of FGF signaling","3.85%","4","104","15","11494","2.94e-4","3.60e-3","29.47","2.53e-1","2.79e-3","8.00e-6"
"REACTOME_PATHWAY","Regulation of TP53 Expression and Degradation","4.81%","5","104","37","11494","3.20e-4","3.88e-3","14.94","2.72e-1","3.00e-3","1.91e-5"
"REACTOME_PATHWAY","Gene expression (Transcription)","27.88%","29","104","1614","11494","3.29e-4","3.94e-3","1.99","2.79e-1","3.04e-3","1.61e-4"
"REACTOME_PATHWAY","FLT3 Signaling","4.81%","5","104","38","11494","3.55e-4","4.15e-3","14.54","2.97e-1","3.21e-3","2.18e-5"
"REACTOME_PATHWAY","Signaling by FGFR3","4.81%","5","104","38","11494","3.55e-4","4.15e-3","14.54","2.97e-1","3.21e-3","2.18e-5"
"REACTOME_PATHWAY","Developmental Biology","25.96%","27","104","1457","11494","3.70e-4","4.27e-3","2.05","3.07e-1","3.30e-3","1.75e-4"
"REACTOME_PATHWAY","Cell Cycle","16.35%","17","104","687","11494","3.80e-4","4.34e-3","2.73","3.15e-1","3.36e-3","1.34e-4"
"REACTOME_PATHWAY","Signaling by FGFR4","4.81%","5","104","39","11494","3.93e-4","4.44e-3","14.17","3.23e-1","3.43e-3","2.48e-5"
"REACTOME_PATHWAY","GAB1 signalosome","3.85%","4","104","17","11494","4.34e-4","4.79e-3","26.00","3.50e-1","3.70e-3","1.38e-5"
"REACTOME_PATHWAY","RET signaling","4.81%","5","104","40","11494","4.34e-4","4.79e-3","13.81","3.50e-1","3.70e-3","2.82e-5"
"REACTOME_PATHWAY","Immune System","33.65%","35","104","2177","11494","4.59e-4","5.01e-3","1.78","3.66e-1","3.87e-3","2.51e-4"
"REACTOME_PATHWAY","MITF-M-regulated melanocyte development","7.69%","8","104","155","11494","4.75e-4","5.13e-3","5.70","3.76e-1","3.97e-3","7.87e-5"
"REACTOME_PATHWAY","Biosynthesis of DHA-derived SPMs","3.85%","4","104","18","11494","5.17e-4","5.46e-3","24.56","4.02e-1","4.23e-3","1.76e-5"
"REACTOME_PATHWAY","Gastrin-CREB signalling pathway via PKC and MAPK","3.85%","4","104","18","11494","5.17e-4","5.46e-3","24.56","4.02e-1","4.23e-3","1.76e-5"
"REACTOME_PATHWAY","PI3K Cascade","4.81%","5","104","42","11494","5.24e-4","5.48e-3","13.16","4.06e-1","4.24e-3","3.59e-5"
"REACTOME_PATHWAY","G alpha (s) signalling events","7.69%","8","104","158","11494","5.33e-4","5.52e-3","5.60","4.11e-1","4.27e-3","9.00e-5"
"REACTOME_PATHWAY","Bacterial Infection Pathways","5.77%","6","104","75","11494","5.50e-4","5.63e-3","8.84","4.21e-1","4.36e-3","5.77e-5"
"REACTOME_PATHWAY","Signaling by RAF1 mutants","4.81%","5","104","43","11494","5.74e-4","5.81e-3","12.85","4.34e-1","4.50e-3","4.03e-5"
"REACTOME_PATHWAY","Signaling by Rho GTPases","16.35%","17","104","716","11494","5.99e-4","6.01e-3","2.62","4.48e-1","4.65e-3","2.20e-4"
"REACTOME_PATHWAY","Potential therapeutics for SARS","7.69%","8","104","165","11494","6.91e-4","6.86e-3","5.36","4.96e-1","5.30e-3","1.22e-4"
"REACTOME_PATHWAY","Biosynthesis of specialized proresolving mediators (SPMs)","3.85%","4","104","20","11494","7.13e-4","7.01e-3","22.10","5.08e-1","5.42e-3","2.74e-5"
"REACTOME_PATHWAY","IRS-mediated signalling","4.81%","5","104","46","11494","7.43e-4","7.24e-3","12.01","5.22e-1","5.60e-3","5.62e-5"
"REACTOME_PATHWAY","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","16.35%","17","104","732","11494","7.61e-4","7.33e-3","2.57","5.30e-1","5.67e-3","2.85e-4"
"REACTOME_PATHWAY","G alpha (q) signalling events","8.65%","9","104","219","11494","7.70e-4","7.35e-3","4.54","5.35e-1","5.68e-3","1.61e-4"
"REACTOME_PATHWAY","Signaling downstream of RAS mutants","4.81%","5","104","47","11494","8.07e-4","7.42e-3","11.76","5.51e-1","5.74e-3","6.25e-5"
"REACTOME_PATHWAY","Signaling by moderate kinase activity BRAF mutants","4.81%","5","104","47","11494","8.07e-4","7.42e-3","11.76","5.51e-1","5.74e-3","6.25e-5"
"REACTOME_PATHWAY","Signaling by RAS mutants","4.81%","5","104","47","11494","8.07e-4","7.42e-3","11.76","5.51e-1","5.74e-3","6.25e-5"
"REACTOME_PATHWAY","Paradoxical activation of RAF signaling by kinase inactive BRAF","4.81%","5","104","47","11494","8.07e-4","7.42e-3","11.76","5.51e-1","5.74e-3","6.25e-5"
"REACTOME_PATHWAY","Transmission across Chemical Synapses","9.62%","10","104","278","11494","8.58e-4","7.81e-3","3.98","5.73e-1","6.04e-3","2.05e-4"
"REACTOME_PATHWAY","Signaling by FGFR1","4.81%","5","104","49","11494","9.46e-4","8.51e-3","11.28","6.09e-1","6.58e-3","7.65e-5"
"REACTOME_PATHWAY","ERK/MAPK targets","3.85%","4","104","22","11494","9.51e-4","8.51e-3","20.09","6.11e-1","6.58e-3","4.08e-5"
"REACTOME_PATHWAY","PTEN Regulation","6.73%","7","104","128","11494","1.00e-3","8.81e-3","6.04","6.31e-1","6.82e-3","1.56e-4"
"REACTOME_PATHWAY","Regulation of actin dynamics for phagocytic cup formation","6.73%","7","104","128","11494","1.00e-3","8.81e-3","6.04","6.31e-1","6.82e-3","1.56e-4"
"REACTOME_PATHWAY","IGF1R signaling cascade","4.81%","5","104","50","11494","1.02e-3","8.81e-3","11.05","6.37e-1","6.82e-3","8.44e-5"
"REACTOME_PATHWAY","IRS-related events triggered by IGF1R","4.81%","5","104","50","11494","1.02e-3","8.81e-3","11.05","6.37e-1","6.82e-3","8.44e-5"
"REACTOME_PATHWAY","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)","4.81%","5","104","51","11494","1.10e-3","9.34e-3","10.84","6.65e-1","7.22e-3","9.29e-5"
"REACTOME_PATHWAY","Signaling by ERBB2","4.81%","5","104","51","11494","1.10e-3","9.34e-3","10.84","6.65e-1","7.22e-3","9.29e-5"
"REACTOME_PATHWAY","Negative feedback regulation of MAPK pathway","2.88%","3","104","6","11494","1.17e-3","9.81e-3","55.26","6.86e-1","7.58e-3","1.41e-5"
"REACTOME_PATHWAY","Interleukin-6 family signaling","3.85%","4","104","24","11494","1.23e-3","1.03e-2","18.42","7.06e-1","7.96e-3","5.85e-5"
"REACTOME_PATHWAY","Cell Cycle, Mitotic","13.46%","14","104","554","11494","1.31e-3","1.08e-2","2.79","7.28e-1","8.39e-3","4.49e-4"
"REACTOME_PATHWAY","RHO GTPases Activate NADPH Oxidases","3.85%","4","104","25","11494","1.39e-3","1.14e-2","17.68","7.49e-1","8.84e-3","6.91e-5"
"REACTOME_PATHWAY","Constitutive Signaling by AKT1 E17K in Cancer","3.85%","4","104","26","11494","1.56e-3","1.27e-2","17.00","7.89e-1","9.85e-3","8.11e-5"
"REACTOME_PATHWAY","RSK activation","2.88%","3","104","7","11494","1.62e-3","1.31e-2","47.37","8.00e-1","1.01e-2","2.45e-5"
"REACTOME_PATHWAY","SUMOylation of intracellular receptors","3.85%","4","104","27","11494","1.75e-3","1.40e-2","16.37","8.24e-1","1.08e-2","9.46e-5"
"REACTOME_PATHWAY","Negative regulation of FGFR3 signaling","3.85%","4","104","28","11494","1.95e-3","1.55e-2","15.79","8.55e-1","1.20e-2","1.10e-4"
"REACTOME_PATHWAY","Arachidonate metabolism","4.81%","5","104","60","11494","2.02e-3","1.59e-2","9.21","8.66e-1","1.23e-2","2.03e-4"
"REACTOME_PATHWAY","Toll Like Receptor 4 (TLR4) Cascade","6.73%","7","104","147","11494","2.04e-3","1.60e-2","5.26","8.69e-1","1.23e-2","3.66e-4"
"REACTOME_PATHWAY","NCAM signaling for neurite out-growth","4.81%","5","104","61","11494","2.15e-3","1.60e-2","9.06","8.81e-1","1.24e-2","2.19e-4"
"REACTOME_PATHWAY","Suppression of apoptosis","2.88%","3","104","8","11494","2.15e-3","1.60e-2","41.44","8.82e-1","1.24e-2","3.90e-5"
"REACTOME_PATHWAY","Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)","2.88%","3","104","8","11494","2.15e-3","1.60e-2","41.44","8.82e-1","1.24e-2","3.90e-5"
"REACTOME_PATHWAY","Signaling by ALK","3.85%","4","104","29","11494","2.16e-3","1.60e-2","15.24","8.83e-1","1.24e-2","1.26e-4"
"REACTOME_PATHWAY","Downstream signal transduction","3.85%","4","104","29","11494","2.16e-3","1.60e-2","15.24","8.83e-1","1.24e-2","1.26e-4"
"REACTOME_PATHWAY","VEGFR2 mediated vascular permeability","3.85%","4","104","29","11494","2.16e-3","1.60e-2","15.24","8.83e-1","1.24e-2","1.26e-4"
"REACTOME_PATHWAY","DAP12 signaling","3.85%","4","104","29","11494","2.16e-3","1.60e-2","15.24","8.83e-1","1.24e-2","1.26e-4"
"REACTOME_PATHWAY","Regulation of PTEN gene transcription","4.81%","5","104","62","11494","2.28e-3","1.68e-2","8.91","8.96e-1","1.30e-2","2.37e-4"
"REACTOME_PATHWAY","Signaling by CSF3 (G-CSF)","3.85%","4","104","30","11494","2.38e-3","1.73e-2","14.74","9.06e-1","1.33e-2","1.45e-4"
"REACTOME_PATHWAY","Negative regulation of FGFR4 signaling","3.85%","4","104","30","11494","2.38e-3","1.73e-2","14.74","9.06e-1","1.33e-2","1.45e-4"
"REACTOME_PATHWAY","MAP kinase activation","4.81%","5","104","63","11494","2.42e-3","1.74e-2","8.77","9.09e-1","1.34e-2","2.55e-4"
"REACTOME_PATHWAY","Negative regulation of FGFR1 signaling","3.85%","4","104","31","11494","2.62e-3","1.87e-2","14.26","9.26e-1","1.45e-2","1.65e-4"
"REACTOME_PATHWAY","Innate Immune System","20.19%","21","104","1150","11494","2.74e-3","1.94e-2","2.02","9.34e-1","1.50e-2","1.31e-3"
"REACTOME_PATHWAY","PI3K/AKT activation","2.88%","3","104","9","11494","2.75e-3","1.94e-2","36.84","9.35e-1","1.50e-2","5.81e-5"
"REACTOME_PATHWAY","G-protein beta:gamma signalling","3.85%","4","104","32","11494","2.87e-3","1.99e-2","13.81","9.42e-1","1.54e-2","1.87e-4"
"REACTOME_PATHWAY","Negative regulation of FGFR2 signaling","3.85%","4","104","32","11494","2.87e-3","1.99e-2","13.81","9.42e-1","1.54e-2","1.87e-4"
"REACTOME_PATHWAY","Signaling by BRAF and RAF1 fusions","4.81%","5","104","67","11494","3.02e-3","2.09e-2","8.25","9.51e-1","1.61e-2","3.41e-4"
"REACTOME_PATHWAY","Phospholipid metabolism","7.69%","8","104","214","11494","3.08e-3","2.11e-2","4.13","9.53e-1","1.63e-2","7.06e-4"
"REACTOME_PATHWAY","MyD88-independent TLR4 cascade","5.77%","6","104","111","11494","3.17e-3","2.14e-2","5.97","9.57e-1","1.66e-2","4.99e-4"
"REACTOME_PATHWAY","TRIF (TICAM1)-mediated TLR4 signaling","5.77%","6","104","111","11494","3.17e-3","2.14e-2","5.97","9.57e-1","1.66e-2","4.99e-4"
"REACTOME_PATHWAY","Cytochrome P450 - arranged by substrate type","4.81%","5","104","68","11494","3.19e-3","2.14e-2","8.13","9.58e-1","1.66e-2","3.65e-4"
"REACTOME_PATHWAY","Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus","2.88%","3","104","10","11494","3.41e-3","2.25e-2","33.16","9.67e-1","1.74e-2","8.25e-5"
"REACTOME_PATHWAY","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","5.77%","6","104","113","11494","3.42e-3","2.25e-2","5.87","9.67e-1","1.74e-2","5.49e-4"
"REACTOME_PATHWAY","Toll Like Receptor TLR6:TLR2 Cascade","5.77%","6","104","113","11494","3.42e-3","2.25e-2","5.87","9.67e-1","1.74e-2","5.49e-4"
"REACTOME_PATHWAY","Signaling by FGFR2","4.81%","5","104","70","11494","3.55e-3","2.32e-2","7.89","9.71e-1","1.79e-2","4.18e-4"
"REACTOME_PATHWAY","Regulation of HSF1-mediated heat shock response","4.81%","5","104","71","11494","3.73e-3","2.39e-2","7.78","9.76e-1","1.85e-2","4.46e-4"
"REACTOME_PATHWAY","Interleukin-17 signaling","4.81%","5","104","71","11494","3.73e-3","2.39e-2","7.78","9.76e-1","1.85e-2","4.46e-4"
"REACTOME_PATHWAY","High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells","4.81%","5","104","71","11494","3.73e-3","2.39e-2","7.78","9.76e-1","1.85e-2","4.46e-4"
"REACTOME_PATHWAY","Toll Like Receptor TLR1:TLR2 Cascade","5.77%","6","104","116","11494","3.83e-3","2.42e-2","5.72","9.78e-1","1.87e-2","6.30e-4"
"REACTOME_PATHWAY","Toll Like Receptor 2 (TLR2) Cascade","5.77%","6","104","116","11494","3.83e-3","2.42e-2","5.72","9.78e-1","1.87e-2","6.30e-4"
"REACTOME_PATHWAY","SARS-CoV Infections","11.54%","12","104","484","11494","3.98e-3","2.50e-2","2.74","9.81e-1","1.94e-2","1.38e-3"
"REACTOME_PATHWAY","Signaling by high-kinase activity BRAF mutants","3.85%","4","104","36","11494","4.03e-3","2.51e-2","12.28","9.82e-1","1.94e-2","2.98e-4"
"REACTOME_PATHWAY","Interleukin-27 signaling","2.88%","3","104","11","11494","4.15e-3","2.54e-2","30.14","9.84e-1","1.97e-2","1.13e-4"
"REACTOME_PATHWAY","Removal of aminoterminal propeptides from gamma-carboxylated proteins","2.88%","3","104","11","11494","4.15e-3","2.54e-2","30.14","9.84e-1","1.97e-2","1.13e-4"
"REACTOME_PATHWAY","Gamma-carboxylation of protein precursors","2.88%","3","104","11","11494","4.15e-3","2.54e-2","30.14","9.84e-1","1.97e-2","1.13e-4"
"REACTOME_PATHWAY","Biological oxidations","7.69%","8","104","228","11494","4.36e-3","2.66e-2","3.88","9.87e-1","2.05e-2","1.06e-3"
"REACTOME_PATHWAY","Toll-like Receptor Cascades","6.73%","7","104","172","11494","4.45e-3","2.69e-2","4.50","9.88e-1","2.08e-2","9.34e-4"
"REACTOME_PATHWAY","APC/C-mediated degradation of cell cycle proteins","4.81%","5","104","75","11494","4.54e-3","2.72e-2","7.37","9.89e-1","2.10e-2","5.75e-4"
