"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Signaling by Nuclear Receptors","13.79%","8","58","297","11494","6.26e-4","1.44e-2","5.34","3.61e-1","1.26e-2","1.13e-4"
"REACTOME_PATHWAY","IFNG signaling activates MAPKs","5.17%","3","58","8","11494","6.64e-4","1.44e-2","74.31","3.78e-1","1.26e-2","6.71e-6"
"REACTOME_PATHWAY","Suppression of apoptosis","5.17%","3","58","8","11494","6.64e-4","1.44e-2","74.31","3.78e-1","1.26e-2","6.71e-6"
"REACTOME_PATHWAY","ESR-mediated signaling","12.07%","7","58","223","11494","7.92e-4","1.66e-2","6.22","4.32e-1","1.46e-2","1.22e-4"
"REACTOME_PATHWAY","Constitutive Signaling by Aberrant PI3K in Cancer","8.62%","5","58","85","11494","8.16e-4","1.67e-2","11.66","4.42e-1","1.46e-2","6.62e-5"
"REACTOME_PATHWAY","Interleukin-6 signaling","5.17%","3","58","11","11494","1.29e-3","2.56e-2","54.05","6.03e-1","2.25e-2","1.96e-5"
"REACTOME_PATHWAY","Frs2-mediated activation","5.17%","3","58","12","11494","1.54e-3","2.98e-2","49.54","6.68e-1","2.62e-2","2.60e-5"
"REACTOME_PATHWAY","Cytokine Signaling in Immune system","20.69%","12","58","801","11494","1.68e-3","3.16e-2","2.97","6.99e-1","2.78e-2","5.46e-4"
"REACTOME_PATHWAY","Cellular responses to stress","20.69%","12","58","808","11494","1.80e-3","3.30e-2","2.94","7.24e-1","2.90e-2","5.90e-4"
"REACTOME_PATHWAY","Prolonged ERK activation events","5.17%","3","58","14","11494","2.12e-3","3.78e-2","42.47","7.80e-1","3.32e-2","4.27e-5"
"REACTOME_PATHWAY","Spry regulation of FGF signaling","5.17%","3","58","15","11494","2.43e-3","4.24e-2","39.63","8.24e-1","3.73e-2","5.31e-5"
"REACTOME_PATHWAY","Generic Transcription Pathway","25.86%","15","58","1267","11494","2.94e-3","4.99e-2","2.35","8.77e-1","4.39e-2","1.21e-3"
"REACTOME_PATHWAY","Biosynthesis of DHA-derived SPMs","5.17%","3","58","18","11494","3.51e-3","5.83e-2","33.03","9.19e-1","5.13e-2","9.43e-5"
"REACTOME_PATHWAY","PTEN Regulation","8.62%","5","58","128","11494","3.67e-3","5.96e-2","7.74","9.28e-1","5.25e-2","4.52e-4"
"REACTOME_PATHWAY","Metabolism of lipids","18.97%","11","58","760","11494","3.81e-3","6.04e-2","2.87","9.34e-1","5.32e-2","1.28e-3"
"REACTOME_PATHWAY","Developmental Biology","27.59%","16","58","1457","11494","4.01e-3","6.23e-2","2.18","9.43e-1","5.48e-2","1.78e-3"
"REACTOME_PATHWAY","Signaling by NTRKs","8.62%","5","58","133","11494","4.21e-3","6.40e-2","7.45","9.51e-1","5.63e-2","5.39e-4"
"REACTOME_PATHWAY","Biosynthesis of specialized proresolving mediators (SPMs)","5.17%","3","58","20","11494","4.34e-3","6.45e-2","29.73","9.55e-1","5.67e-2","1.31e-4"
"REACTOME_PATHWAY","G alpha (q) signalling events","10.34%","6","58","219","11494","4.49e-3","6.55e-2","5.43","9.60e-1","5.76e-2","7.91e-4"
"REACTOME_PATHWAY","Regulation of HSF1-mediated heat shock response","6.90%","4","58","71","11494","5.21e-3","7.19e-2","11.16","9.76e-1","6.32e-2","4.41e-4"
"REACTOME_PATHWAY","ERK/MAPK targets","5.17%","3","58","22","11494","5.24e-3","7.19e-2","27.02","9.76e-1","6.32e-2","1.75e-4"
"REACTOME_PATHWAY","NPAS4 regulates expression of target genes","5.17%","3","58","22","11494","5.24e-3","7.19e-2","27.02","9.76e-1","6.32e-2","1.75e-4"
"REACTOME_PATHWAY","Bacterial Infection Pathways","6.90%","4","58","75","11494","6.07e-3","7.93e-2","10.57","9.87e-1","6.97e-2","5.43e-4"
"REACTOME_PATHWAY","Response of Mtb to phagocytosis","5.17%","3","58","24","11494","6.22e-3","7.93e-2","24.77","9.88e-1","6.97e-2","2.29e-4"
"REACTOME_PATHWAY","RUNX2 regulates osteoblast differentiation","5.17%","3","58","24","11494","6.22e-3","7.93e-2","24.77","9.88e-1","6.97e-2","2.29e-4"
"REACTOME_PATHWAY","Interleukin-6 family signaling","5.17%","3","58","24","11494","6.22e-3","7.93e-2","24.77","9.88e-1","6.97e-2","2.29e-4"
"REACTOME_PATHWAY","Interleukin-20 family signaling","5.17%","3","58","25","11494","6.74e-3","8.35e-2","23.78","9.92e-1","7.34e-2","2.59e-4"
"REACTOME_PATHWAY","RNA Polymerase II Transcription","25.86%","15","58","1390","11494","6.78e-3","8.35e-2","2.14","9.92e-1","7.34e-2","3.05e-3"
"REACTOME_PATHWAY","Regulation of IFNA/IFNB signaling","5.17%","3","58","26","11494","7.28e-3","8.80e-2","22.87","9.95e-1","7.74e-2","2.92e-4"
"REACTOME_PATHWAY","Regulation of T cell activation by CD28 family","6.90%","4","58","82","11494","7.76e-3","9.24e-2","9.67","9.96e-1","8.13e-2","7.62e-4"
"REACTOME_PATHWAY","Regulation of TP53 Activity","8.62%","5","58","161","11494","8.24e-3","9.53e-2","6.15","9.97e-1","8.38e-2","1.28e-3"
"REACTOME_PATHWAY","Infection with Mycobacterium tuberculosis","5.17%","3","58","28","11494","8.41e-3","9.53e-2","21.23","9.98e-1","8.38e-2","3.65e-4"
"REACTOME_PATHWAY","Negative regulation of FGFR3 signaling","5.17%","3","58","28","11494","8.41e-3","9.53e-2","21.23","9.98e-1","8.38e-2","3.65e-4"
"REACTOME_PATHWAY","Negative regulation of FGFR4 signaling","5.17%","3","58","30","11494","9.62e-3","1.04e-1","19.82","9.99e-1","9.12e-2","4.49e-4"
"REACTOME_PATHWAY","Signaling by CSF3 (G-CSF)","5.17%","3","58","30","11494","9.62e-3","1.04e-1","19.82","9.99e-1","9.12e-2","4.49e-4"
"REACTOME_PATHWAY","Signaling by ALK in cancer","6.90%","4","58","90","11494","1.00e-2","1.04e-1","8.81","9.99e-1","9.12e-2","1.08e-3"
"REACTOME_PATHWAY","Signaling by ALK fusions and activated point mutants","6.90%","4","58","90","11494","1.00e-2","1.04e-1","8.81","9.99e-1","9.12e-2","1.08e-3"
"REACTOME_PATHWAY","MAPK targets/ Nuclear events mediated by MAP kinases","5.17%","3","58","31","11494","1.02e-2","1.04e-1","19.18","9.99e-1","9.12e-2","4.96e-4"
"REACTOME_PATHWAY","Negative regulation of FGFR1 signaling","5.17%","3","58","31","11494","1.02e-2","1.04e-1","19.18","9.99e-1","9.12e-2","4.96e-4"
"REACTOME_PATHWAY","Cellular response to heat stress","6.90%","4","58","91","11494","1.03e-2","1.04e-1","8.71","9.99e-1","9.12e-2","1.13e-3"
"REACTOME_PATHWAY","Gene expression (Transcription)","27.59%","16","58","1614","11494","1.04e-2","1.04e-1","1.96","9.99e-1","9.12e-2","5.06e-3"
"REACTOME_PATHWAY","Regulation of TP53 Activity through Phosphorylation","6.90%","4","58","92","11494","1.06e-2","1.04e-1","8.62","1.00e+0","9.12e-2","1.17e-3"
"REACTOME_PATHWAY","RUNX2 regulates bone development","5.17%","3","58","32","11494","1.09e-2","1.04e-1","18.58","1.00e+0","9.12e-2","5.45e-4"
"REACTOME_PATHWAY","CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling","5.17%","3","58","32","11494","1.09e-2","1.04e-1","18.58","1.00e+0","9.12e-2","5.45e-4"
"REACTOME_PATHWAY","Negative regulation of FGFR2 signaling","5.17%","3","58","32","11494","1.09e-2","1.04e-1","18.58","1.00e+0","9.12e-2","5.45e-4"
"REACTOME_PATHWAY","Signalling to ERKs","5.17%","3","58","33","11494","1.16e-2","1.09e-1","18.02","1.00e+0","9.55e-2","5.97e-4"
"REACTOME_PATHWAY","Transmission across Chemical Synapses","10.34%","6","58","278","11494","1.20e-2","1.09e-1","4.28","1.00e+0","9.63e-2","2.67e-3"
"REACTOME_PATHWAY","Transcriptional Regulation by NPAS4","5.17%","3","58","34","11494","1.22e-2","1.09e-1","17.49","1.00e+0","9.63e-2","6.53e-4"
"REACTOME_PATHWAY","Interferon gamma signaling","6.90%","4","58","97","11494","1.23e-2","1.09e-1","8.17","1.00e+0","9.63e-2","1.43e-3"
"REACTOME_PATHWAY","VEGFA-VEGFR2 Pathway","6.90%","4","58","97","11494","1.23e-2","1.09e-1","8.17","1.00e+0","9.63e-2","1.43e-3"
"REACTOME_PATHWAY","RHO GTPases Activate WASPs and WAVEs","5.17%","3","58","36","11494","1.37e-2","1.19e-1","16.51","1.00e+0","1.05e-1","7.74e-4"
"REACTOME_PATHWAY","Regulation of TP53 Degradation","5.17%","3","58","36","11494","1.37e-2","1.19e-1","16.51","1.00e+0","1.05e-1","7.74e-4"
"REACTOME_PATHWAY","Regulation of TP53 Expression and Degradation","5.17%","3","58","37","11494","1.44e-2","1.24e-1","16.07","1.00e+0","1.09e-1","8.39e-4"
"REACTOME_PATHWAY","FLT3 Signaling","5.17%","3","58","38","11494","1.52e-2","1.27e-1","15.65","1.00e+0","1.12e-1","9.07e-4"
"REACTOME_PATHWAY","Signaling by FGFR3","5.17%","3","58","38","11494","1.52e-2","1.27e-1","15.65","1.00e+0","1.12e-1","9.07e-4"
"REACTOME_PATHWAY","Signaling by FGFR4","5.17%","3","58","39","11494","1.59e-2","1.31e-1","15.24","1.00e+0","1.15e-1","9.80e-4"
"REACTOME_PATHWAY","Transcriptional regulation by RUNX2","6.90%","4","58","107","11494","1.60e-2","1.31e-1","7.41","1.00e+0","1.15e-1","2.05e-3"
"REACTOME_PATHWAY","Signaling by VEGF","6.90%","4","58","108","11494","1.64e-2","1.33e-1","7.34","1.00e+0","1.17e-1","2.12e-3"
"REACTOME_PATHWAY","RET signaling","5.17%","3","58","40","11494","1.67e-2","1.34e-1","14.86","1.00e+0","1.17e-1","1.06e-3"
"REACTOME_PATHWAY","Cellular response to chemical stress","8.62%","5","58","199","11494","1.69e-2","1.34e-1","4.98","1.00e+0","1.17e-1","3.22e-3"
"REACTOME_PATHWAY","Infectious disease","20.69%","12","58","1094","11494","1.72e-2","1.34e-1","2.17","1.00e+0","1.17e-1","7.53e-3"
"REACTOME_PATHWAY","Activation of gene expression by SREBF (SREBP)","5.17%","3","58","41","11494","1.75e-2","1.34e-1","14.50","1.00e+0","1.17e-1","1.13e-3"
"REACTOME_PATHWAY","TRIF (TICAM1)-mediated TLR4 signaling","6.90%","4","58","111","11494","1.76e-2","1.34e-1","7.14","1.00e+0","1.17e-1","2.34e-3"
"REACTOME_PATHWAY","MyD88-independent TLR4 cascade","6.90%","4","58","111","11494","1.76e-2","1.34e-1","7.14","1.00e+0","1.17e-1","2.34e-3"
"REACTOME_PATHWAY","KEAP1-NFE2L2 pathway","6.90%","4","58","112","11494","1.80e-2","1.34e-1","7.08","1.00e+0","1.18e-1","2.42e-3"
"REACTOME_PATHWAY","Interleukin-4 and Interleukin-13 signaling","6.90%","4","58","112","11494","1.80e-2","1.34e-1","7.08","1.00e+0","1.18e-1","2.42e-3"
"REACTOME_PATHWAY","PI3K Cascade","5.17%","3","58","42","11494","1.83e-2","1.35e-1","14.16","1.00e+0","1.19e-1","1.22e-3"
"REACTOME_PATHWAY","Signaling by NTRK1 (TRKA)","6.90%","4","58","114","11494","1.89e-2","1.37e-1","6.95","1.00e+0","1.21e-1","2.58e-3"
"REACTOME_PATHWAY","Cell Cycle","15.52%","9","58","687","11494","1.93e-2","1.39e-1","2.60","1.00e+0","1.22e-1","7.06e-3"
"REACTOME_PATHWAY","Signaling by MAP2K mutants","3.45%","2","58","4","11494","1.97e-2","1.41e-1","99.09","1.00e+0","1.24e-1","1.49e-4"
"REACTOME_PATHWAY","Respiratory Syncytial Virus Infection Pathway","6.90%","4","58","120","11494","2.16e-2","1.51e-1","6.61","1.00e+0","1.33e-1","3.10e-3"
"REACTOME_PATHWAY","Smooth Muscle Contraction","5.17%","3","58","46","11494","2.18e-2","1.51e-1","12.92","1.00e+0","1.33e-1","1.59e-3"
"REACTOME_PATHWAY","IRS-mediated signalling","5.17%","3","58","46","11494","2.18e-2","1.51e-1","12.92","1.00e+0","1.33e-1","1.59e-3"
"REACTOME_PATHWAY","Interleukin-10 signaling","5.17%","3","58","47","11494","2.26e-2","1.54e-1","12.65","1.00e+0","1.35e-1","1.69e-3"
"REACTOME_PATHWAY","Co-stimulation by CD28","5.17%","3","58","47","11494","2.26e-2","1.54e-1","12.65","1.00e+0","1.35e-1","1.69e-3"
"REACTOME_PATHWAY","RHO GTPase Effectors","10.34%","6","58","331","11494","2.37e-2","1.60e-1","3.59","1.00e+0","1.40e-1","6.26e-3"
"REACTOME_PATHWAY","Signaling by FGFR1","5.17%","3","58","49","11494","2.45e-2","1.63e-1","12.13","1.00e+0","1.43e-1","1.91e-3"
"REACTOME_PATHWAY","IGF1R signaling cascade","5.17%","3","58","50","11494","2.54e-2","1.63e-1","11.89","1.00e+0","1.43e-1","2.02e-3"
"REACTOME_PATHWAY","Interleukin-12 signaling","5.17%","3","58","50","11494","2.54e-2","1.63e-1","11.89","1.00e+0","1.43e-1","2.02e-3"
"REACTOME_PATHWAY","Interleukin-3, Interleukin-5 and GM-CSF signaling","5.17%","3","58","50","11494","2.54e-2","1.63e-1","11.89","1.00e+0","1.43e-1","2.02e-3"
"REACTOME_PATHWAY","IRS-related events triggered by IGF1R","5.17%","3","58","50","11494","2.54e-2","1.63e-1","11.89","1.00e+0","1.43e-1","2.02e-3"
"REACTOME_PATHWAY","Regulation of actin dynamics for phagocytic cup formation","6.90%","4","58","128","11494","2.55e-2","1.63e-1","6.19","1.00e+0","1.43e-1","3.91e-3"
"REACTOME_PATHWAY","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)","5.17%","3","58","51","11494","2.64e-2","1.67e-1","11.66","1.00e+0","1.47e-1","2.14e-3"
"REACTOME_PATHWAY","Nuclear Receptor transcription pathway","5.17%","3","58","52","11494","2.73e-2","1.71e-1","11.43","1.00e+0","1.51e-1","2.26e-3"
"REACTOME_PATHWAY","Regulation of cholesterol biosynthesis by SREBP (SREBF)","5.17%","3","58","54","11494","2.93e-2","1.79e-1","11.01","1.00e+0","1.58e-1","2.52e-3"
"REACTOME_PATHWAY","MET activates PTPN11","3.45%","2","58","6","11494","2.94e-2","1.79e-1","66.06","1.00e+0","1.58e-1","3.71e-4"
"REACTOME_PATHWAY","Negative feedback regulation of MAPK pathway","3.45%","2","58","6","11494","2.94e-2","1.79e-1","66.06","1.00e+0","1.58e-1","3.71e-4"
"REACTOME_PATHWAY","Intrinsic Pathway for Apoptosis","5.17%","3","58","55","11494","3.03e-2","1.84e-1","10.81","1.00e+0","1.61e-1","2.66e-3"
"REACTOME_PATHWAY","Immune System","31.03%","18","58","2177","11494","3.15e-2","1.89e-1","1.64","1.00e+0","1.66e-1","1.84e-2"
"REACTOME_PATHWAY","STAT5 Activation","3.45%","2","58","7","11494","3.42e-2","2.02e-1","56.62","1.00e+0","1.78e-1","5.17e-4"
"REACTOME_PATHWAY","Signaling by LTK in cancer","3.45%","2","58","7","11494","3.42e-2","2.02e-1","56.62","1.00e+0","1.78e-1","5.17e-4"
"REACTOME_PATHWAY","Arachidonate metabolism","5.17%","3","58","60","11494","3.56e-2","2.07e-1","9.91","1.00e+0","1.82e-1","3.40e-3"
"REACTOME_PATHWAY","Interleukin-12 family signaling","5.17%","3","58","60","11494","3.56e-2","2.07e-1","9.91","1.00e+0","1.82e-1","3.40e-3"
"REACTOME_PATHWAY","Toll Like Receptor 4 (TLR4) Cascade","6.90%","4","58","147","11494","3.63e-2","2.09e-1","5.39","1.00e+0","1.84e-1","6.38e-3"
"REACTOME_PATHWAY","Nuclear Events (kinase and transcription factor activation)","5.17%","3","58","61","11494","3.67e-2","2.10e-1","9.75","1.00e+0","1.84e-1","3.57e-3"
"REACTOME_PATHWAY","Regulation of PTEN gene transcription","5.17%","3","58","62","11494","3.78e-2","2.14e-1","9.59","1.00e+0","1.88e-1","3.73e-3"
"REACTOME_PATHWAY","MAP kinase activation","5.17%","3","58","63","11494","3.89e-2","2.18e-1","9.44","1.00e+0","1.91e-1","3.91e-3"
"REACTOME_PATHWAY","Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)","3.45%","2","58","8","11494","3.90e-2","2.18e-1","49.54","1.00e+0","1.91e-1","6.87e-4"
"REACTOME_PATHWAY","Fcgamma receptor (FCGR) dependent phagocytosis","6.90%","4","58","152","11494","3.95e-2","2.19e-1","5.22","1.00e+0","1.92e-1","7.17e-3"
"REACTOME_PATHWAY","Metabolism of steroids","6.90%","4","58","153","11494","4.01e-2","2.20e-1","5.18","1.00e+0","1.94e-1","7.34e-3"
"REACTOME_PATHWAY","MITF-M-regulated melanocyte development","6.90%","4","58","155","11494","4.15e-2","2.26e-1","5.11","1.00e+0","1.99e-1","7.68e-3"
"REACTOME_PATHWAY","Platelet activation, signaling and aggregation","8.62%","5","58","266","11494","4.26e-2","2.30e-1","3.73","1.00e+0","2.03e-1","1.08e-2"
"REACTOME_PATHWAY","Biosynthesis of maresins","3.45%","2","58","9","11494","4.38e-2","2.35e-1","44.04","1.00e+0","2.07e-1","8.81e-4"
"REACTOME_PATHWAY","Signaling by FGFR2","5.17%","3","58","70","11494","4.71e-2","2.51e-1","8.49","1.00e+0","2.21e-1","5.25e-3"
"REACTOME_PATHWAY","Interleukin-17 signaling","5.17%","3","58","71","11494","4.83e-2","2.51e-1","8.37","1.00e+0","2.21e-1","5.47e-3"
"REACTOME_PATHWAY","STAT5 activation downstream of FLT3 ITD mutants","3.45%","2","58","10","11494","4.85e-2","2.51e-1","39.63","1.00e+0","2.21e-1","1.10e-3"
"REACTOME_PATHWAY","Activation of the AP-1 family of transcription factors","3.45%","2","58","10","11494","4.85e-2","2.51e-1","39.63","1.00e+0","2.21e-1","1.10e-3"
"REACTOME_PATHWAY","Signal attenuation","3.45%","2","58","10","11494","4.85e-2","2.51e-1","39.63","1.00e+0","2.21e-1","1.10e-3"
"REACTOME_PATHWAY","Apoptosis","6.90%","4","58","166","11494","4.91e-2","2.52e-1","4.78","1.00e+0","2.22e-1","9.72e-3"
"REACTOME_PATHWAY","Interferon Signaling","8.62%","5","58","283","11494","5.14e-2","2.62e-1","3.50","1.00e+0","2.31e-1","1.38e-2"
"REACTOME_PATHWAY","Regulation of the apoptosome activity","3.45%","2","58","11","11494","5.32e-2","2.64e-1","36.03","1.00e+0","2.32e-1","1.34e-3"
"REACTOME_PATHWAY","Formation of apoptosome","3.45%","2","58","11","11494","5.32e-2","2.64e-1","36.03","1.00e+0","2.32e-1","1.34e-3"
"REACTOME_PATHWAY","Interleukin-27 signaling","3.45%","2","58","11","11494","5.32e-2","2.64e-1","36.03","1.00e+0","2.32e-1","1.34e-3"
"REACTOME_PATHWAY","Neurotransmitter clearance","3.45%","2","58","11","11494","5.32e-2","2.64e-1","36.03","1.00e+0","2.32e-1","1.34e-3"
"REACTOME_PATHWAY","Toll-like Receptor Cascades","6.90%","4","58","172","11494","5.35e-2","2.64e-1","4.61","1.00e+0","2.32e-1","1.10e-2"
"REACTOME_PATHWAY","DNA Double-Strand Break Repair","6.90%","4","58","173","11494","5.43e-2","2.66e-1","4.58","1.00e+0","2.34e-1","1.12e-2"
"REACTOME_PATHWAY","Neuronal System","10.34%","6","58","420","11494","5.65e-2","2.73e-1","2.83","1.00e+0","2.40e-1","1.87e-2"
"REACTOME_PATHWAY","Fatty acid metabolism","6.90%","4","58","176","11494","5.66e-2","2.73e-1","4.50","1.00e+0","2.40e-1","1.19e-2"
"REACTOME_PATHWAY","Interferon alpha/beta signaling","5.17%","3","58","78","11494","5.71e-2","2.74e-1","7.62","1.00e+0","2.41e-1","7.10e-3"
"REACTOME_PATHWAY","Interleukin-35 Signalling","3.45%","2","58","12","11494","5.79e-2","2.76e-1","33.03","1.00e+0","2.43e-1","1.60e-3"
"REACTOME_PATHWAY","Signaling by MET","5.17%","3","58","80","11494","5.97e-2","2.82e-1","7.43","1.00e+0","2.48e-1","7.61e-3"
"REACTOME_PATHWAY","SARS-CoV-2 Infection","8.62%","5","58","300","11494","6.12e-2","2.87e-1","3.30","1.00e+0","2.53e-1","1.74e-2"
"REACTOME_PATHWAY","Regulation of IFNG signaling","3.45%","2","58","13","11494","6.26e-2","2.88e-1","30.49","1.00e+0","2.54e-1","1.88e-3"
"REACTOME_PATHWAY","Cytochrome c-mediated apoptotic response","3.45%","2","58","13","11494","6.26e-2","2.88e-1","30.49","1.00e+0","2.54e-1","1.88e-3"
"REACTOME_PATHWAY","ERKs are inactivated","3.45%","2","58","13","11494","6.26e-2","2.88e-1","30.49","1.00e+0","2.54e-1","1.88e-3"
"REACTOME_PATHWAY","Signaling by FGFR","5.17%","3","58","85","11494","6.64e-2","3.02e-1","6.99","1.00e+0","2.66e-1","8.99e-3"
"REACTOME_PATHWAY","Advanced glycosylation endproduct receptor signaling","3.45%","2","58","14","11494","6.73e-2","3.02e-1","28.31","1.00e+0","2.66e-1","2.19e-3"
"REACTOME_PATHWAY","Golgi Cisternae Pericentriolar Stack Reorganization","3.45%","2","58","14","11494","6.73e-2","3.02e-1","28.31","1.00e+0","2.66e-1","2.19e-3"
"REACTOME_PATHWAY","AKT phosphorylates targets in the cytosol","3.45%","2","58","14","11494","6.73e-2","3.02e-1","28.31","1.00e+0","2.66e-1","2.19e-3"
"REACTOME_PATHWAY","Post NMDA receptor activation events","5.17%","3","58","87","11494","6.92e-2","3.09e-1","6.83","1.00e+0","2.71e-1","9.58e-3"
"REACTOME_PATHWAY","Signal regulatory protein family interactions","3.45%","2","58","15","11494","7.19e-2","3.19e-1","26.42","1.00e+0","2.80e-1","2.52e-3"
"REACTOME_PATHWAY","Cellular Senescence","6.90%","4","58","198","11494","7.49e-2","3.30e-1","4.00","1.00e+0","2.90e-1","1.76e-2"
"REACTOME_PATHWAY","Programmed Cell Death","6.90%","4","58","199","11494","7.58e-2","3.31e-1","3.98","1.00e+0","2.91e-1","1.79e-2"
"REACTOME_PATHWAY","Opioid Signalling","5.17%","3","58","92","11494","7.62e-2","3.31e-1","6.46","1.00e+0","2.91e-1","1.11e-2"
"REACTOME_PATHWAY","Signaling by FLT3 ITD and TKD mutants","3.45%","2","58","16","11494","7.65e-2","3.31e-1","24.77","1.00e+0","2.91e-1","2.87e-3"
"REACTOME_PATHWAY","FCERI mediated MAPK activation","5.17%","3","58","94","11494","7.91e-2","3.37e-1","6.32","1.00e+0","2.96e-1","1.18e-2"
"REACTOME_PATHWAY","SARS-CoV-2-host interactions","6.90%","4","58","204","11494","8.03e-2","3.37e-1","3.89","1.00e+0","2.96e-1","1.94e-2"
