#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAP2	TBC1D10B	9606.ENSP00000324287	9606.ENSP00000386538	0	0	0	0	0.067	0	0	0.495	0.509
AKT1	GSN	9606.ENSP00000451828	9606.ENSP00000362924	0	0	0	0	0.042	0	0	0.430	0.430
AKT1	GNG10	9606.ENSP00000451828	9606.ENSP00000363411	0	0	0	0	0	0	0.500	0.069	0.515
AKT1	DVL1	9606.ENSP00000451828	9606.ENSP00000368166	0	0	0	0	0.149	0.093	0	0.690	0.740
AKT1	XDH	9606.ENSP00000451828	9606.ENSP00000368727	0	0	0	0	0	0	0	0.546	0.546
AKT1	PPP3CA	9606.ENSP00000451828	9606.ENSP00000378323	0	0	0	0	0.049	0.328	0	0.483	0.641
AKT1	PPP1CB	9606.ENSP00000451828	9606.ENSP00000378769	0	0.001	0	0	0.049	0.328	0	0.329	0.534
AKT1	USP8	9606.ENSP00000451828	9606.ENSP00000379721	0	0	0	0	0.050	0.292	0.400	0.299	0.679
AKT1	MAP3K1	9606.ENSP00000451828	9606.ENSP00000382423	0	0	0	0.610	0.093	0.070	0	0.520	0.560
AKT1	BCL6	9606.ENSP00000451828	9606.ENSP00000384371	0	0	0	0	0	0.071	0	0.507	0.522
AKT1	PTPN6	9606.ENSP00000451828	9606.ENSP00000391592	0	0	0	0	0.085	0.097	0	0.371	0.436
AKT1	ITPKB	9606.ENSP00000451828	9606.ENSP00000411152	0	0	0	0	0.042	0.169	0	0.503	0.570
AKT1	CEBPA	9606.ENSP00000451828	9606.ENSP00000427514	0	0	0	0	0.064	0.053	0	0.617	0.631
AKT1	IDO1	9606.ENSP00000451828	9606.ENSP00000430950	0	0	0	0	0	0	0	0.512	0.512
AKT1	DICER1	9606.ENSP00000451828	9606.ENSP00000437256	0	0	0	0	0.054	0.045	0	0.593	0.600
AKT1	NFE2	9606.ENSP00000451828	9606.ENSP00000439120	0	0	0	0	0	0.073	0	0.382	0.403
AKT1	PLCB3	9606.ENSP00000451828	9606.ENSP00000443631	0	0	0	0	0.080	0	0	0.518	0.537
AKT1	TPM4	9606.ENSP00000451828	9606.ENSP00000494125	0	0	0	0	0.047	0.292	0	0.195	0.409
AKT1	MARCKS	9606.ENSP00000451828	9606.ENSP00000478061	0	0	0	0	0.056	0.062	0	0.402	0.424
AKT1	ZEB2	9606.ENSP00000451828	9606.ENSP00000487174	0	0	0	0	0	0.046	0	0.581	0.583
AKT1	BCL10	9606.ENSP00000451828	9606.ENSP00000498104	0	0	0	0	0.081	0.614	0	0.407	0.771
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000495360	0	0	0	0	0.074	0.539	0.400	0.930	0.979
ALAS1	HMOX1	9606.ENSP00000378416	9606.ENSP00000216117	0	0	0	0	0.064	0	0	0.470	0.482
ALAS1	BHLHE40	9606.ENSP00000378416	9606.ENSP00000256495	0	0	0	0	0.044	0	0	0.475	0.476
ALAS1	SMARCD3	9606.ENSP00000378416	9606.ENSP00000262188	0	0	0	0	0.098	0	0.400	0.056	0.444
ALAS1	MED1	9606.ENSP00000378416	9606.ENSP00000300651	0	0	0	0	0.118	0	0.400	0.045	0.450
ALAS1	TBL1XR1	9606.ENSP00000378416	9606.ENSP00000405574	0	0	0	0	0	0.047	0.400	0	0.403
ALAS1	NCOA1	9606.ENSP00000378416	9606.ENSP00000385216	0	0	0	0	0.058	0	0.400	0.097	0.445
ALDH3B1	LAIR1	9606.ENSP00000473990	9606.ENSP00000375622	0	0	0	0	0.062	0	0	0.416	0.428
ALS2CL	RIN2	9606.ENSP00000313670	9606.ENSP00000255006	0	0	0	0	0	0	0.400	0.076	0.421
ANAPC1	PSMD3	9606.ENSP00000339109	9606.ENSP00000264639	0	0	0	0	0.060	0	0.400	0	0.411
ANAPC1	UBE2E1	9606.ENSP00000339109	9606.ENSP00000303709	0	0	0	0	0.049	0.131	0.800	0.181	0.846
ANAPC1	SMC1A	9606.ENSP00000339109	9606.ENSP00000323421	0	0	0	0	0.083	0.091	0	0.457	0.509
ANAPC1	PSMA7	9606.ENSP00000339109	9606.ENSP00000359910	0	0	0	0	0.049	0	0.400	0	0.405
ANAPC1	PPP1CB	9606.ENSP00000339109	9606.ENSP00000378769	0	0	0	0	0.042	0.263	0	0.311	0.471
ANAPC1	PPP3CA	9606.ENSP00000339109	9606.ENSP00000378323	0	0	0	0	0.049	0.263	0.650	0.131	0.758
ANAPC1	UBE2D1	9606.ENSP00000339109	9606.ENSP00000363019	0	0	0	0	0.064	0.131	0.800	0.154	0.844
ANAPC1	FAM89B	9606.ENSP00000339109	9606.ENSP00000431459	0	0	0	0	0	0.789	0	0.312	0.848
ANKRD27	NFKBIA	9606.ENSP00000304292	9606.ENSP00000216797	0	0	0	0.605	0	0.542	0	0	0.542
ANKRD27	RAB40C	9606.ENSP00000304292	9606.ENSP00000248139	0	0	0	0	0.065	0.249	0	0.376	0.524
ANKRD27	VPS35	9606.ENSP00000304292	9606.ENSP00000299138	0	0	0	0	0.074	0.572	0	0.630	0.841
ANKRD27	PGAP6	9606.ENSP00000304292	9606.ENSP00000401338	0	0	0	0	0	0	0	0.456	0.456
ANKRD27	RAB8B	9606.ENSP00000304292	9606.ENSP00000312734	0	0	0	0	0.061	0	0	0.459	0.471
ANP32E	HIRA	9606.ENSP00000463154	9606.ENSP00000263208	0	0	0	0	0.056	0	0	0.431	0.440
ANP32E	ING3	9606.ENSP00000463154	9606.ENSP00000320566	0	0	0	0	0.066	0.345	0.900	0.156	0.941
ANP32E	H2BC21	9606.ENSP00000463154	9606.ENSP00000358151	0	0	0	0	0.047	0.184	0	0.598	0.660
ANXA6	PTX3	9606.ENSP00000346550	9606.ENSP00000295927	0	0	0	0	0	0	0	0.427	0.426
ANXA6	HP	9606.ENSP00000346550	9606.ENSP00000348170	0	0	0	0	0.042	0	0	0.449	0.449
AP2B1	LTF	9606.ENSP00000483185	9606.ENSP00000231751	0	0	0	0	0.055	0	0	0.430	0.438
AP2B1	GOLPH3	9606.ENSP00000483185	9606.ENSP00000265070	0	0	0	0	0.049	0	0	0.439	0.443
AP2B1	FZD2	9606.ENSP00000483185	9606.ENSP00000323901	0	0	0	0	0	0	0.400	0.045	0.402
AP2B1	VPS39	9606.ENSP00000483185	9606.ENSP00000335193	0	0	0	0	0.130	0	0.360	0.132	0.475
AP2B1	UBQLN2	9606.ENSP00000483185	9606.ENSP00000345195	0	0	0	0	0.156	0.058	0.500	0.064	0.578
AP2B1	MSN	9606.ENSP00000483185	9606.ENSP00000353408	0	0	0	0	0.088	0	0.500	0.125	0.566
APH1A	GSAP	9606.ENSP00000358105	9606.ENSP00000257626	0	0	0	0	0	0	0	0.757	0.757
APH1A	BSG	9606.ENSP00000358105	9606.ENSP00000333769	0	0	0	0	0.062	0	0	0.555	0.564
APH1A	ITGB3BP	9606.ENSP00000358105	9606.ENSP00000360133	0	0	0	0	0	0	0.400	0	0.400
APOBEC3F	NDUFA8	9606.ENSP00000309749	9606.ENSP00000362873	0	0	0	0	0.354	0.189	0	0.065	0.468
APOBR	HK3	9606.ENSP00000457539	9606.ENSP00000292432	0	0	0	0	0.424	0	0	0	0.424
APOBR	NUPR1	9606.ENSP00000457539	9606.ENSP00000379003	0	0	0	0	0.042	0	0	0.470	0.470
ARID4B	SMARCD3	9606.ENSP00000264183	9606.ENSP00000262188	0	0	0	0	0.087	0.314	0	0.185	0.444
ARID4B	NACC2	9606.ENSP00000264183	9606.ENSP00000277554	0	0	0	0	0	0.092	0	0.369	0.403
ARID4B	BBX	9606.ENSP00000264183	9606.ENSP00000319974	0	0	0	0	0.181	0	0	0.345	0.440
ARID4B	HDAC4	9606.ENSP00000264183	9606.ENSP00000264606	0	0	0	0	0	0.415	0	0.150	0.482
ARID4B	ZNF292	9606.ENSP00000264183	9606.ENSP00000358590	0	0	0	0	0.392	0.092	0	0.163	0.498
ARID4B	ING3	9606.ENSP00000264183	9606.ENSP00000320566	0	0	0	0	0.099	0.239	0	0.418	0.566
ARID4B	H2BC21	9606.ENSP00000264183	9606.ENSP00000358151	0	0	0	0	0.056	0.261	0.500	0.109	0.648
ARID4B	SAP130	9606.ENSP00000264183	9606.ENSP00000350333	0	0	0	0	0.042	0.823	0.800	0.203	0.969
ARL4C	JUND	9606.ENSP00000339754	9606.ENSP00000252818	0	0	0	0	0.067	0.069	0	0.537	0.563
ARL4C	FAM89B	9606.ENSP00000339754	9606.ENSP00000431459	0	0	0	0	0.068	0	0	0.418	0.434
ARL4C	FLNA	9606.ENSP00000339754	9606.ENSP00000358866	0	0	0	0	0.107	0.048	0	0.484	0.523
ARMT1	PPP3CA	9606.ENSP00000356263	9606.ENSP00000378323	0	0.037	0	0	0.101	0.493	0	0	0.524
ASXL2	FLT3	9606.ENSP00000383920	9606.ENSP00000241453	0	0	0	0	0	0	0	0.435	0.435
ASXL2	SMC1A	9606.ENSP00000383920	9606.ENSP00000323421	0	0	0	0	0.121	0	0	0.348	0.402
ASXL2	NCOA1	9606.ENSP00000383920	9606.ENSP00000385216	0	0	0	0	0.143	0	0	0.586	0.630
ATF1	CREB5	9606.ENSP00000262053	9606.ENSP00000350359	0	0	0	0	0.052	0	0.800	0.232	0.841
BBX	PRH2	9606.ENSP00000319974	9606.ENSP00000379682	0	0	0	0	0	0	0	0.620	0.620
BCL10	NFKBIA	9606.ENSP00000498104	9606.ENSP00000216797	0	0	0	0	0.069	0.292	0.500	0.702	0.888
BCL10	RIPK2	9606.ENSP00000498104	9606.ENSP00000220751	0	0	0	0	0.104	0.091	0.400	0.446	0.693
BCL10	UBE2E1	9606.ENSP00000498104	9606.ENSP00000303709	0	0	0	0	0.056	0	0.500	0.068	0.521
BCL10	TNIP1	9606.ENSP00000498104	9606.ENSP00000317891	0	0	0	0	0.044	0.342	0	0.269	0.500
BCL10	PDPK1	9606.ENSP00000498104	9606.ENSP00000344220	0	0	0	0	0.043	0	0.500	0.147	0.556
BCL10	NFKB2	9606.ENSP00000498104	9606.ENSP00000358983	0	0	0	0	0.105	0	0	0.469	0.504
BCL10	UBE2D1	9606.ENSP00000498104	9606.ENSP00000363019	0	0	0	0	0.072	0	0.500	0.137	0.564
BCL10	MAP3K1	9606.ENSP00000498104	9606.ENSP00000382423	0	0	0	0	0.125	0	0	0.490	0.535
BCL10	BCL6	9606.ENSP00000498104	9606.ENSP00000384371	0	0	0	0	0.109	0.045	0	0.474	0.513
BCL10	PTPN6	9606.ENSP00000498104	9606.ENSP00000391592	0	0	0	0	0.087	0	0	0.471	0.496
BCL6	SIRT1	9606.ENSP00000384371	9606.ENSP00000212015	0	0	0	0	0.042	0.301	0	0.767	0.830
BCL6	GZMB	9606.ENSP00000384371	9606.ENSP00000216341	0	0	0	0	0.102	0.045	0	0.580	0.608
BCL6	NFKBIA	9606.ENSP00000384371	9606.ENSP00000216797	0	0	0	0	0.109	0.091	0	0.559	0.611
BCL6	CD68	9606.ENSP00000384371	9606.ENSP00000250092	0	0	0	0	0.062	0	0	0.447	0.459
BCL6	JUND	9606.ENSP00000384371	9606.ENSP00000252818	0	0	0	0	0.126	0.328	0	0.237	0.514
BCL6	HDAC4	9606.ENSP00000384371	9606.ENSP00000264606	0	0	0	0	0.111	0.535	0	0.925	0.966
BCL6	IRF8	9606.ENSP00000384371	9606.ENSP00000268638	0	0	0	0	0.068	0.096	0	0.596	0.630
BCL6	CTBP1	9606.ENSP00000384371	9606.ENSP00000290921	0	0	0	0	0	0.314	0	0.716	0.796
BCL6	JUNB	9606.ENSP00000384371	9606.ENSP00000303315	0	0	0	0	0.196	0.328	0.400	0.260	0.728
BCL6	P4HB	9606.ENSP00000384371	9606.ENSP00000327801	0	0	0	0	0.054	0.091	0	0.424	0.461
BCL6	ZBTB16	9606.ENSP00000384371	9606.ENSP00000338157	0	0	0	0.617	0.086	0.292	0	0.440	0.605
BCL6	GPR183	9606.ENSP00000384371	9606.ENSP00000365596	0	0	0	0	0.084	0	0	0.606	0.623
BCL6	CD83	9606.ENSP00000384371	9606.ENSP00000368450	0	0	0	0	0.101	0	0	0.378	0.417
BCL6	CD1D	9606.ENSP00000384371	9606.ENSP00000501245	0	0	0	0	0.057	0.065	0	0.399	0.424
BCL6	ITPKB	9606.ENSP00000384371	9606.ENSP00000411152	0	0	0	0	0.067	0	0	0.471	0.485
BCL6	CTNNB1	9606.ENSP00000384371	9606.ENSP00000495360	0	0	0	0	0.113	0.312	0.098	0.361	0.602
BCL6	TBL1XR1	9606.ENSP00000384371	9606.ENSP00000405574	0	0	0	0	0.042	0.328	0	0.596	0.717
BCL7B	SMARCD3	9606.ENSP00000411073	9606.ENSP00000262188	0	0	0	0	0.057	0.639	0.900	0.479	0.979
BHLHE40	SLC2A3	9606.ENSP00000256495	9606.ENSP00000075120	0	0	0	0	0.258	0	0	0.234	0.407
BHLHE40	MAZ	9606.ENSP00000256495	9606.ENSP00000219782	0	0	0	0	0	0.051	0	0.531	0.536
BHLHE40	EGR2	9606.ENSP00000256495	9606.ENSP00000242480	0	0	0	0	0.165	0.051	0	0.327	0.420
BHLHE40	FOSB	9606.ENSP00000256495	9606.ENSP00000245919	0	0	0	0	0.163	0.054	0	0.322	0.416
BHLHE40	JUND	9606.ENSP00000256495	9606.ENSP00000252818	0	0	0	0	0.127	0	0	0.384	0.439
BHLHE40	NR4A2	9606.ENSP00000256495	9606.ENSP00000344479	0	0	0	0	0.140	0.067	0	0.313	0.401
BICD2	CAPZA1	9606.ENSP00000349351	9606.ENSP00000263168	0	0	0	0	0.047	0.164	0.500	0.198	0.637
BIRC7	TNFRSF21	9606.ENSP00000217169	9606.ENSP00000296861	0	0	0	0	0	0	0	0.593	0.593
BIRC7	UBE2D1	9606.ENSP00000217169	9606.ENSP00000363019	0	0	0	0	0.058	0.196	0	0.578	0.652
BSG	CD180	9606.ENSP00000333769	9606.ENSP00000256447	0	0	0	0	0	0.097	0	0.385	0.421
BSG	GSAP	9606.ENSP00000333769	9606.ENSP00000257626	0	0	0	0	0	0	0	0.638	0.638
BSG	CTNNB1	9606.ENSP00000333769	9606.ENSP00000495360	0	0	0	0	0.097	0.049	0	0.370	0.411
BTG2	EGR2	9606.ENSP00000290551	9606.ENSP00000242480	0	0	0	0	0.305	0	0	0.364	0.539
BTG2	FOSB	9606.ENSP00000290551	9606.ENSP00000245919	0	0	0	0	0.298	0	0	0.424	0.579
BTG2	HDAC4	9606.ENSP00000290551	9606.ENSP00000264606	0	0	0	0	0	0	0	0.447	0.447
BTG2	NR4A2	9606.ENSP00000290551	9606.ENSP00000344479	0	0	0	0	0.200	0	0	0.335	0.446
BTG2	EGR3	9606.ENSP00000290551	9606.ENSP00000318057	0	0	0	0	0.222	0	0	0.512	0.604
BTG2	IER2	9606.ENSP00000290551	9606.ENSP00000465617	0	0	0	0	0.357	0	0	0.457	0.636
BTG2	JUNB	9606.ENSP00000290551	9606.ENSP00000303315	0	0	0	0	0.563	0	0	0.243	0.655
BTG2	ZFP36	9606.ENSP00000290551	9606.ENSP00000471239	0	0	0	0	0.525	0	0	0.370	0.688
BTN3A3	LTF	9606.ENSP00000244519	9606.ENSP00000231751	0	0	0	0	0.073	0	0	0.575	0.590
BTN3A3	CD1D	9606.ENSP00000244519	9606.ENSP00000501245	0	0	0	0	0.067	0	0	0.416	0.431
BTN3A3	XDH	9606.ENSP00000244519	9606.ENSP00000368727	0	0	0	0	0	0	0	0.968	0.968
C1D	MPHOSPH6	9606.ENSP00000348107	9606.ENSP00000258169	0	0	0	0	0.355	0.822	0.900	0.743	0.996
C1D	IMP4	9606.ENSP00000348107	9606.ENSP00000259239	0	0	0	0	0.518	0.507	0.400	0	0.844
C1D	UTP6	9606.ENSP00000348107	9606.ENSP00000261708	0	0	0	0	0.141	0.507	0.400	0.207	0.771
C1D	TENT4A	9606.ENSP00000348107	9606.ENSP00000488642	0	0	0	0	0.068	0.065	0	0.528	0.553
C1D	TTC37	9606.ENSP00000348107	9606.ENSP00000497948	0	0	0	0	0.058	0.122	0	0.586	0.628
C1D	TSNAX	9606.ENSP00000348107	9606.ENSP00000355599	0	0	0	0	0.104	0.292	0	0.611	0.732
C1D	ZFC3H1	9606.ENSP00000348107	9606.ENSP00000368017	0	0	0	0	0	0.381	0.900	0.486	0.965
C20orf27	CPNE1	9606.ENSP00000217195	9606.ENSP00000317257	0	0	0	0	0.068	0	0	0.528	0.541
CACNA2D3	PDE4B	9606.ENSP00000419101	9606.ENSP00000342637	0	0	0	0	0	0	0.540	0.099	0.567
CACNA2D3	PPP1CB	9606.ENSP00000419101	9606.ENSP00000378769	0	0	0	0	0.045	0	0.650	0.052	0.655
CAMP	PGLYRP1	9606.ENSP00000296435	9606.ENSP00000008938	0	0	0	0	0.786	0	0	0.301	0.844
CAMP	LTF	9606.ENSP00000296435	9606.ENSP00000231751	0	0	0	0	0.466	0	0	0.937	0.964
CAMP	MMP8	9606.ENSP00000296435	9606.ENSP00000236826	0	0	0	0	0.458	0	0	0.563	0.753
CAMP	PTX3	9606.ENSP00000296435	9606.ENSP00000295927	0	0	0	0	0.045	0	0	0.549	0.550
CAMP	RNASE2	9606.ENSP00000296435	9606.ENSP00000303276	0	0	0	0	0.214	0	0	0.312	0.436
CAMP	ITGAL	9606.ENSP00000296435	9606.ENSP00000349252	0	0	0	0	0.103	0	0	0.435	0.471
CAMP	HP	9606.ENSP00000296435	9606.ENSP00000348170	0	0	0	0	0.212	0	0	0.388	0.497
CAMP	HAMP	9606.ENSP00000296435	9606.ENSP00000471894	0	0	0	0	0	0	0	0.506	0.506
CAMP	H2BC21	9606.ENSP00000296435	9606.ENSP00000358151	0	0	0	0	0	0	0	0.509	0.509
CAMP	CD1D	9606.ENSP00000296435	9606.ENSP00000501245	0	0	0	0	0.099	0	0	0.494	0.524
CAMP	CD1C	9606.ENSP00000296435	9606.ENSP00000357152	0	0	0	0	0.126	0	0	0.541	0.581
CAMP	PADI4	9606.ENSP00000296435	9606.ENSP00000364597	0	0	0	0	0.245	0	0	0.541	0.638
CAMP	S100A12	9606.ENSP00000296435	9606.ENSP00000357726	0	0	0	0	0.625	0	0	0.358	0.749
CAMP	LCN2	9606.ENSP00000296435	9606.ENSP00000362108	0	0	0	0	0.458	0	0	0.728	0.846
CAPZA1	PLEKHO1	9606.ENSP00000263168	9606.ENSP00000358120	0	0	0	0	0	0.329	0	0.201	0.440
CAPZA1	PPP1CB	9606.ENSP00000263168	9606.ENSP00000378769	0	0	0	0	0.274	0.177	0	0.139	0.441
CAPZA1	VPS35	9606.ENSP00000263168	9606.ENSP00000299138	0	0	0	0	0.302	0.191	0	0.139	0.471
CAPZA1	FLNA	9606.ENSP00000263168	9606.ENSP00000358866	0	0	0	0	0.042	0.161	0	0.433	0.504
