source,target
G ALPHA (I) SIGNALLING EVENTS,RGS16
G ALPHA (I) SIGNALLING EVENTS,RGS17
G ALPHA (I) SIGNALLING EVENTS,RGS21
G ALPHA (I) SIGNALLING EVENTS,RGS1
G ALPHA (I) SIGNALLING EVENTS,RGS8
G ALPHA (I) SIGNALLING EVENTS,RGS9
G ALPHA (I) SIGNALLING EVENTS,RGS13
G ALPHA (I) SIGNALLING EVENTS,RGS18
G ALPHA (I) SIGNALLING EVENTS,RGS20
G ALPHA (I) SIGNALLING EVENTS,RGS22
G ALPHA (I) SIGNALLING EVENTS,RGSL1
G ALPHA (I) SIGNALLING EVENTS,ADCY7
G ALPHA (I) SIGNALLING EVENTS,ADCY6
G ALPHA (I) SIGNALLING EVENTS,ADCY2
G ALPHA (I) SIGNALLING EVENTS,ADCY9
G ALPHA (I) SIGNALLING EVENTS,ADCY4
G ALPHA (I) SIGNALLING EVENTS,ADCY8
G ALPHA (I) SIGNALLING EVENTS,ADCY3
G ALPHA (I) SIGNALLING EVENTS,ADCY5
G ALPHA (I) SIGNALLING EVENTS,ADCY1
G ALPHA (I) SIGNALLING EVENTS,GNAL
G ALPHA (I) SIGNALLING EVENTS,ITPR1
G ALPHA (I) SIGNALLING EVENTS,ITPR3
G ALPHA (I) SIGNALLING EVENTS,ITPR2
G ALPHA (I) SIGNALLING EVENTS,AHCYL1
G ALPHA (I) SIGNALLING EVENTS,GNA11
G ALPHA (I) SIGNALLING EVENTS,GNA15
G ALPHA (I) SIGNALLING EVENTS,GNAQ
G ALPHA (I) SIGNALLING EVENTS,GNA14
G ALPHA (I) SIGNALLING EVENTS,PLCB4
G ALPHA (I) SIGNALLING EVENTS,PLCB3
G ALPHA (I) SIGNALLING EVENTS,PLCB1
G ALPHA (I) SIGNALLING EVENTS,PLCB2
G ALPHA (I) SIGNALLING EVENTS,PLA2G4A
G ALPHA (I) SIGNALLING EVENTS,MAPK1
G ALPHA (I) SIGNALLING EVENTS,CALM1
G ALPHA (I) SIGNALLING EVENTS,PRKCA
G ALPHA (I) SIGNALLING EVENTS,PRKCD
G ALPHA (I) SIGNALLING EVENTS,PRKCG
G ALPHA (I) SIGNALLING EVENTS,GRK2
G ALPHA (I) SIGNALLING EVENTS,PDE1A
G ALPHA (I) SIGNALLING EVENTS,PDE1C
G ALPHA (I) SIGNALLING EVENTS,PDE1B
G ALPHA (I) SIGNALLING EVENTS,PRKACA
G ALPHA (I) SIGNALLING EVENTS,PRKACB
G ALPHA (I) SIGNALLING EVENTS,PRKACG
G ALPHA (I) SIGNALLING EVENTS,PRKAR2A
G ALPHA (I) SIGNALLING EVENTS,PRKAR2B
G ALPHA (I) SIGNALLING EVENTS,PRKAR1A
G ALPHA (I) SIGNALLING EVENTS,PRKAR1B
G ALPHA (I) SIGNALLING EVENTS,NBEA
G ALPHA (I) SIGNALLING EVENTS,CREB1
G ALPHA (I) SIGNALLING EVENTS,PRKX
G ALPHA (I) SIGNALLING EVENTS,CAMK2G
G ALPHA (I) SIGNALLING EVENTS,CAMK2D
G ALPHA (I) SIGNALLING EVENTS,CAMK2B
G ALPHA (I) SIGNALLING EVENTS,CAMK2A
G ALPHA (I) SIGNALLING EVENTS,KPNA2
G ALPHA (I) SIGNALLING EVENTS,CAMK4
G ALPHA (I) SIGNALLING EVENTS,CAMKK2
G ALPHA (I) SIGNALLING EVENTS,CAMKK1
G ALPHA (I) SIGNALLING EVENTS,PPP1R1B
G ALPHA (I) SIGNALLING EVENTS,PPP1CA
G ALPHA (I) SIGNALLING EVENTS,PPP3CB
G ALPHA (I) SIGNALLING EVENTS,PPP3CA
G ALPHA (I) SIGNALLING EVENTS,PPP3CC
G ALPHA (I) SIGNALLING EVENTS,PDE4B
G ALPHA (I) SIGNALLING EVENTS,PPP3R1
G ALPHA (I) SIGNALLING EVENTS,PDE4C
G ALPHA (I) SIGNALLING EVENTS,PDE4D
G ALPHA (I) SIGNALLING EVENTS,PDE4A
G ALPHA (I) SIGNALLING EVENTS,CDK5
G ALPHA (I) SIGNALLING EVENTS,PPP2R1A
G ALPHA (I) SIGNALLING EVENTS,PPP2R1B
G ALPHA (I) SIGNALLING EVENTS,PPP2CA
G ALPHA (I) SIGNALLING EVENTS,PPP2CB
G ALPHA (I) SIGNALLING EVENTS,PPP2R5D
G ALPHA (I) SIGNALLING EVENTS,PCP2
G ALPHA (I) SIGNALLING EVENTS,GPSM2
G ALPHA (I) SIGNALLING EVENTS,GPSM3
G ALPHA (I) SIGNALLING EVENTS,GPSM1
G ALPHA (I) SIGNALLING EVENTS,GNAS
G ALPHA (I) SIGNALLING EVENTS,GNAZ
INTERFERON GAMMA SIGNALING,CAMK2B
INTERFERON GAMMA SIGNALING,CAMK2A
INTERFERON GAMMA SIGNALING,CAMK2D
INTERFERON GAMMA SIGNALING,CAMK2G
INTERFERON GAMMA SIGNALING,PRKCD
INTERFERON GAMMA SIGNALING,STAT1
INTERFERON GAMMA SIGNALING,IFNG
INTERFERON GAMMA SIGNALING,JAK1
INTERFERON GAMMA SIGNALING,IFNGR1
INTERFERON GAMMA SIGNALING,JAK2
INTERFERON GAMMA SIGNALING,IFNGR2
INTERFERON GAMMA SIGNALING,PTPN6
INTERFERON GAMMA SIGNALING,SOCS1
INTERFERON GAMMA SIGNALING,SOCS3
INTERFERON GAMMA SIGNALING,YBX1
INTERFERON GAMMA SIGNALING,PTPN11
INTERFERON GAMMA SIGNALING,PTPN1
INTERFERON GAMMA SIGNALING,PTPN2
INTERFERON GAMMA SIGNALING,SUMO1
INTERFERON GAMMA SIGNALING,PIAS1
INTERFERON GAMMA SIGNALING,GBP6
INTERFERON GAMMA SIGNALING,GBP5
INTERFERON GAMMA SIGNALING,GBP4
INTERFERON GAMMA SIGNALING,GBP7
INTERFERON GAMMA SIGNALING,GBP3
INTERFERON GAMMA SIGNALING,GBP2
INTERFERON GAMMA SIGNALING,GBP1
INTERFERON GAMMA SIGNALING,IRF4
INTERFERON GAMMA SIGNALING,IRF9
INTERFERON GAMMA SIGNALING,IRF5
INTERFERON GAMMA SIGNALING,IRF1
INTERFERON GAMMA SIGNALING,IRF3
INTERFERON GAMMA SIGNALING,IRF6
INTERFERON GAMMA SIGNALING,IRF8
INTERFERON GAMMA SIGNALING,IRF2
INTERFERON GAMMA SIGNALING,IRF7
INTERFERON GAMMA SIGNALING,FCGR1A
INTERFERON GAMMA SIGNALING,FCGR1BP
INTERFERON GAMMA SIGNALING,HLA-A
INTERFERON GAMMA SIGNALING,HLA-H
INTERFERON GAMMA SIGNALING,HLA-G
INTERFERON GAMMA SIGNALING,HLA-F
INTERFERON GAMMA SIGNALING,HLA-C
INTERFERON GAMMA SIGNALING,HLA-E
INTERFERON GAMMA SIGNALING,HLA-B
INTERFERON GAMMA SIGNALING,HLA-DPA1
INTERFERON GAMMA SIGNALING,HLA-DQA1
INTERFERON GAMMA SIGNALING,HLA-DRA
INTERFERON GAMMA SIGNALING,HLA-DQA2
INTERFERON GAMMA SIGNALING,HLA-DQB2
INTERFERON GAMMA SIGNALING,HLA-DPB1
INTERFERON GAMMA SIGNALING,HLA-DQB1
INTERFERON GAMMA SIGNALING,HLA-DRB5
INTERFERON GAMMA SIGNALING,HLA-DRB3
INTERFERON GAMMA SIGNALING,HLA-DRB4
INTERFERON GAMMA SIGNALING,HLA-DRB1
INTERFERON GAMMA SIGNALING,ICAM1
INTERFERON GAMMA SIGNALING,CD44
INTERFERON GAMMA SIGNALING,VCAM1
INTERFERON GAMMA SIGNALING,NCAM1
INTERFERON GAMMA SIGNALING,TRIM10
INTERFERON GAMMA SIGNALING,TRIM29
INTERFERON GAMMA SIGNALING,TRIM46
INTERFERON GAMMA SIGNALING,TRIM35
INTERFERON GAMMA SIGNALING,TRIM48
INTERFERON GAMMA SIGNALING,TRIM2
INTERFERON GAMMA SIGNALING,TRIM14
INTERFERON GAMMA SIGNALING,TRIM45
INTERFERON GAMMA SIGNALING,TRIM17
INTERFERON GAMMA SIGNALING,TRIM3
INTERFERON GAMMA SIGNALING,TRIM6
INTERFERON GAMMA SIGNALING,TRIM62
INTERFERON GAMMA SIGNALING,TRIM5
INTERFERON GAMMA SIGNALING,TRIM25
INTERFERON GAMMA SIGNALING,TRIM68
INTERFERON GAMMA SIGNALING,TRIM31
INTERFERON GAMMA SIGNALING,TRIM38
INTERFERON GAMMA SIGNALING,TRIM26
INTERFERON GAMMA SIGNALING,PML
INTERFERON GAMMA SIGNALING,MID1
INTERFERON GAMMA SIGNALING,TRIM22
INTERFERON GAMMA SIGNALING,TRIM34
INTERFERON GAMMA SIGNALING,TRIM8
INTERFERON GAMMA SIGNALING,TRIM21
INTERFERON GAMMA SIGNALING,MT2A
INTERFERON GAMMA SIGNALING,SP100
INTERFERON GAMMA SIGNALING,PTAFR
INTERFERON GAMMA SIGNALING,IFI30
INTERFERON GAMMA SIGNALING,B2M
INTERFERON GAMMA SIGNALING,CIITA
INTERFERON GAMMA SIGNALING,OAS1
INTERFERON GAMMA SIGNALING,OASL
INTERFERON GAMMA SIGNALING,OAS2
INTERFERON GAMMA SIGNALING,OAS3
INTERFERON GAMMA SIGNALING,MAPK3
INTERFERON GAMMA SIGNALING,MAPK1
INTERFERON GAMMA SIGNALING,SMAD7
INTERFERON GAMMA SIGNALING,RAF1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),CCKBR
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GAST
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),PRKCA
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),MMP3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),HBEGF
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),EGFR
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),SOS1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GRB2
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),KRAS
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),NRAS
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),HRAS
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RPS6KA3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RPS6KA1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RPS6KA2
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),CREB1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),MAPK1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),MAPK7
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),MAPK3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNA11
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNA15
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNAQ
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNA14
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),BTK
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNB2
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNB4
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNB5
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNB3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNB1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG8
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNGT2
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNGT1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG7
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG13
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG10
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG11
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG4
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG5
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG12
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GNG2
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),GRK5
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RGSL1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RGS21
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RGS2
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RGS3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RGS19
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),RGS18
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),PRKCH
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),PRKCD
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),PRKCQ
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),PRKCE
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DAGLA
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DAGLB
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),ABHD6
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),ABHD12
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),MGLL
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKD
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKK
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKI
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKG
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKQ
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKH
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKZ
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKE
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKB
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),DGKA
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),ITPR1
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),ITPR3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),ITPR2
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),TRPC3
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),TRPC7
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),TRPC6
