id,type,UniprotID,Entrez_ID
TUBA4B,Gene,Q9H853,80086.0
TCP1,Gene,P17987,6950.0
MMP9,Gene,P14780,4318.0
GNB5,Gene,O14775,10681.0
UBC,Gene,P0CG48,7316.0
RPS6KA2,Gene,Q15349,6196.0
RGSL1,Gene,A5PLK6,353299.0
NUP205,Gene,Q92621,23165.0
ATF1,Gene,P18846,466.0
TNFRSF1B,Gene,P20333,7133.0
THOC5,Gene,Q13769,8563.0
EIF4A2,Gene,Q14240,1974.0
IL1RL2,Gene,Q9HB29,8808.0
PSMB2,Gene,P49721,5690.0
RGS1,Gene,Q08116,5996.0
SQSTM1,Gene,Q13501,8878.0
IL24,Gene,Q13007,11009.0
CSH1,Gene,P0DML2,1442.0
CCL5,Gene,P13501,6352.0
IL36A,Gene,Q9UHA7,27179.0
GNB3,Gene,P16520,2784.0
AAAS,Gene,Q9NRG9,8086.0
H2AX,Gene,P16104,3014.0
EBAG9,Gene,O00559,9166.0
H2AC14,Gene,Q99878,8331.0
TAC1,Gene,P20366,6863.0
FANCG,Gene,O15287,2189.0
IL17A,Gene,Q16552,3605.0
HLA-DRB4,Gene,P13762,3126.0
GPR132,Gene,Q9UNW8,29933.0
ELK1,Gene,P19419,2002.0
CAMK2B,Gene,Q13554,816.0
MX1,Gene,P20591,4599.0
TNFSF6,Gene,Q53ZZ1,356.0
FANCA,Gene,O15360,2175.0
IFIT2,Gene,P09913,3433.0
NUP93,Gene,Q8N1F7,9688.0
BDKRB1,Gene,P46663,623.0
RPS6KA1,Gene,Q15418,6195.0
OPRM1,Gene,P35372,4988.0
MAP2K7,Gene,O14733,5609.0
GNG5,Gene,P63218,2787.0
CDC42,Gene,P60953,998.0
IL16,Gene,Q14005,3603.0
CD44,Gene,P16070,960.0
QRFPR,Gene,Q96P65,84109.0
SLA2,Gene,Q9H6Q3,84174.0
TUBB6,Gene,Q9BUF5,84617.0
PRKCH,Gene,P24723,5583.0
FCER2,Gene,P06734,2208.0
NUP35,Gene,Q8NFH5,129401.0
H2BC13,Gene,Q99880,8340.0
TNFRSF17,Gene,Q02223,608.0
KPNA2,Gene,P52292,3838.0
GNAI3,Gene,P08754,2773.0
PGR,Gene,P06401,5241.0
EDAR,Gene,Q9UNE0,10913.0
UBE2M,Gene,P61081,9040.0
TNFSF15,Gene,O95150,9966.0
TACR2,Gene,P21452,6865.0
P2RY1,Gene,P47900,5028.0
ABHD6,Gene,Q9BV23,57406.0
IFI44L,Gene,Q53G44,10964.0
IL18,Gene,Q14116,3606.0
IL18,Gene,Q14116-2,
TRIM31,Gene,Q9BZY9,11074.0
IFNA6,Gene,P05013,3443.0
IL32,Gene,P24001,9235.0
CENPS,Gene,Q8N2Z9,100526739.0
DHX9,Gene,Q08211,1660.0
FKBP4,Gene,Q02790,2288.0
FANCC,Gene,Q00597,2176.0
NUP37,Gene,Q8NFH4,79023.0
LMNB1,Gene,P20700,4001.0
APP,Gene,P05067,351.0
TNIP2,Gene,Q8NFZ5,79155.0
RALA,Gene,P11233,5898.0
CDK1,Gene,P06493,983.0
TRIM45,Gene,Q9H8W5,80263.0
LCK,Gene,P06239,3932.0
IL10RB,Gene,Q08334,3588.0
CCNT1,Gene,O60563,904.0
NUP42,Gene,O15504,11097.0
MAPK11,Gene,Q15759,5600.0
CXCL1,Gene,P09341,2919.0
PTPN4,Gene,P29074,5775.0
IFIH1,Gene,Q9BYX4,64135.0
HCRTR2,Gene,O43614,3062.0
FFAR2,Gene,O15552,2867.0
IL34,Gene,Q6ZMJ4,146433.0
RGS2,Gene,P41220,5997.0
DOT1L,Gene,,
PRKACA,Gene,P17612,5566.0
IFNGR1,Gene,P15260,3459.0
GAB3,Gene,Q8WWW8,139716.0
IL17RB,Gene,Q9NRM6,55540.0
TNFSF8,Gene,P32971,944.0
MAVS,Gene,Q7Z434,57506.0
AGTR1,Gene,P30556,185.0
TNFRSF4,Gene,P43489,7293.0
LPAR6,Gene,P43657,10161.0
PSMA5,Gene,P28066,5686.0
STAG2,Gene,Q8N3U4,10735.0
GNA15,Gene,P30679,2769.0
BRWD1,Gene,Q9NSI6,54014.0
TRPC6,Gene,Q9Y210,7225.0
TRAF6,Gene,Q9Y4K3,7189.0
GPR68,Gene,Q15743,8111.0
BRS3,Gene,P32247,680.0
NTS,Gene,P30990,4922.0
HGF,Gene,P14210,3082.0
NUP43,Gene,Q8NFH3,348995.0
TNFSF12,Gene,O43508,8742.0
ILF2,Gene,Q12905,3608.0
RGS5,Gene,O15539,8490.0
SLC6A2,Gene,,
NDN,Gene,Q99608,4692.0
SLC6A3,Gene,,
NPFFR1,Gene,Q9GZQ6,64106.0
IFNA14,Gene,P01570,3448.0
ICAM1,Gene,P05362,3383.0
PTK2,Gene,Q05397,5747.0
POLR2H,Gene,P52434,5437.0
ALK,Gene,,
SOD2,Gene,P04179,6648.0
PTPN7,Gene,P35236,5778.0
EDA2R,Gene,Q9HAV5,60401.0
ALOX5,Gene,P09917,240.0
TNFRSF18,Gene,Q9Y5U5,8784.0
NLRC5,Gene,Q86WI3,84166.0
CCK,Gene,P06307,885.0
IL2RG,Gene,P31785,3561.0
DUSP3,Gene,P51452,1845.0
H3C15,Gene,Q71DI3,126961.0
ITGB2,Gene,P05107,3689.0
SMAD7,Gene,O15105,4092.0
BST2,Gene,Q10589,684.0
RIGI,Gene,O95786,23586.0
HSP90AA1,Gene,P07900,3320.0
FLNB,Gene,O75369,2317.0
MAPK3,Gene,P27361,5595.0
CAPZA1,Gene,P52907,829.0
DDX5,Gene,P17844,1655.0
TRPC3,Gene,Q13507,7222.0
BCL6,Gene,P41182,604.0
TRIM8,Gene,Q9BZR9,81603.0
BTC,Gene,P35070,685.0
GNG4,Gene,P50150,2786.0
TRHR,Gene,P34981,7201.0
PRKCE,Gene,Q02156,5581.0
JAK2,Gene,O60674,3717.0
EIF4A1,Gene,P60842,1973.0
NOD1,Gene,Q9Y239,10392.0
CDKN1A,Gene,P38936,1026.0
EDNRA,Gene,P25101,1909.0
DYRK1A,Gene,,
TYK2,Gene,P29597,7297.0
TRPC7,Gene,Q9HCX4,57113.0
H2BC11,Gene,P06899,8970.0
SOS1,Gene,Q07889,6654.0
IL17RE,Gene,Q8NFR9,132014.0
IL2RB,Gene,P14784,3560.0
AGER,Gene,Q15109,177.0
IRF8,Gene,Q02556,3394.0
CXXC5,Gene,Q7LFL8,51523.0
MAPKAPK3,Gene,Q16644,7867.0
POLR2G,Gene,P62487,5436.0
KLK1,Gene,,
GTF2F1,Gene,P35269,2962.0
DGKB,Gene,Q9Y6T7,1607.0
FOXO3,Gene,O43524,2309.0
TGFB1,Gene,P01137,7040.0
IL9,Gene,P15248,3578.0
P2RY2,Gene,P41231,5029.0
CDKN1B,Gene,P46527,1027.0
CYP11B1,Gene,,
GATA3,Gene,P23771,2625.0
HLA-H,Gene,P01893,
SYK,Gene,P43405,6850.0
TRIM5,Gene,Q9C035,85363.0
GNG7,Gene,O60262,2788.0
GRK2,Gene,P25098,156.0
AKT2,Gene,P31751,208.0
LRRC14,Gene,Q15048,9684.0
PSMB4,Gene,P28070,5692.0
CTSD,Gene,P07339,1509.0
CHD1,Gene,O14646,1105.0
SOCS3,Gene,O14543,9021.0
RGS4,Gene,P49798,5999.0
DGKQ,Gene,P52824,1609.0
MCHR2,Gene,Q969V1,84539.0
YY1,Gene,P25490,7528.0
SRF,Gene,P11831,6722.0
TNFRSF25,Gene,Q93038,8718.0
AR,Gene,,
POLR2F,Gene,P61218,5435.0
POU2F1,Gene,P14859,5451.0
BIRC3,Gene,Q13489,330.0
AKT3,Gene,Q9Y243,10000.0
HLA-DQB1,Gene,P01920,3119.0
GBP4,Gene,Q96PP9,115361.0
FANCL,Gene,Q9NW38,55120.0
OPN4,Gene,Q9UHM6,94233.0
TNFRSF11A,Gene,Q9Y6Q6,8792.0
GPR143,Gene,P51810,4935.0
TNFRSF11B,Gene,O00300,4982.0
NS,Gene,P03496,
BDKRB2,Gene,P30411,624.0
EDN3,Gene,P14138,1908.0
LPAR4,Gene,Q99677,2846.0
NMS,Gene,Q5H8A3,129521.0
FAAP24,Gene,Q9BTP7,91442.0
SMC1A,Gene,Q14683,8243.0
CHRM3,Gene,P20309,1131.0
TRIO,Gene,O75962,7204.0
BOLA2,Gene,Q9H3K6,552900.0
VAV1,Gene,P15498,7409.0
MGLL,Gene,Q99685,11343.0
CHRM5,Gene,P08912,1133.0
MAP2K4,Gene,P45985,6416.0
IFNGR2,Gene,P38484,3460.0
TEC,Gene,P42680,7006.0
DGKE,Gene,P52429,8526.0
POLR2A,Gene,P24928,5430.0
RORC,Gene,P51449,6097.0
SOCS2,Gene,O14508,8835.0
MET,Gene,,
PRTN3,Gene,P24158,5657.0
TUBA8,Gene,Q9NY65,51807.0
PTPN1,Gene,P18031,5770.0
TSLP,Gene,Q969D9,85480.0
VCAM1,Gene,P19320,7412.0
TUBA1C,Gene,Q9BQE3,84790.0
IL17F,Gene,Q96PD4,112744.0
ESR2,Gene,Q92731,2100.0
F2,Gene,P00734,2147.0
FASLG,Gene,P48023,356.0
EREG,Gene,O14944,2069.0
NFKB2,Gene,Q00653,4791.0
GTF2F2,Gene,P13984,2963.0
INTERFERON ALPHA/BETA,pathway,,
IFI27,Gene,P40305,3429.0
TNFRSF1A,Gene,P19438,7132.0
PTAFR,Gene,P25105,5724.0
PSMC6,Gene,P62333,5706.0
GAB2,Gene,Q9UQC2,9846.0
PSMC2,Gene,P35998,5701.0
IL12RB1,Gene,P42701,3594.0
LGALS9,Gene,O00182,3965.0
PIK3R3,Gene,Q92569,8503.0
ITGAX,Gene,P20702,3687.0
TRIM2,Gene,Q9C040,23321.0
CCKBR,Gene,P32239,887.0
IL10RA,Gene,Q13651,3587.0
IL10,Gene,P22301,3586.0
PSMB5,Gene,P28074,5693.0
SLA,Gene,Q13239,6503.0
IL12B,Gene,P29460,3593.0
MMP3,Gene,P08254,4314.0
PSME2,Gene,Q9UL46,5721.0
PLCG1,Gene,P19174,5335.0
GAST,Gene,P01350,2520.0
STAT1,Gene,P42224,6772.0
STAT1,Gene,P42224-1,
STAT1,Gene,P42224-2,
RET,Gene,,
RGS19,Gene,P49795,10287.0
AGO1,Gene,Q9UL18,26523.0
SMARCA4,Gene,P51532,6597.0
NLRX1,Gene,Q86UT6,79671.0
PTPRJ,Gene,Q12913,5795.0
RGS16,Gene,O15492,6004.0
PPP2R1A,Gene,P30153,5518.0
SEH1L,Gene,Q96EE3-1,
SEH1L,Gene,Q96EE3-2,
PSMD12,Gene,O00232,5718.0
CCL23,Gene,P55773-2,
IFNLR1,Gene,Q8IU57,163702.0
CD70,Gene,P32970,970.0
PLCB1,Gene,Q9NQ66,23236.0
TNFRSF14,Gene,Q92956,8764.0
CSF2RA,Gene,P15509,1438.0
PSMD7,Gene,P51665,5713.0
PRKRA,Gene,O75569,8575.0
STAT5A,Gene,P42229,6776.0
PMCH,Gene,P20382,5367.0
PIK3R1,Gene,P27986,5295.0
TNFRSF13B,Gene,O14836,23495.0
EDNRB,Gene,P24530,1910.0
AREG,Gene,P15514,374.0
NMB,Gene,P08949,4828.0
IKBKB,Gene,O14920,3551.0
DUSP6,Gene,Q16828,1848.0
ADRA1A,Gene,P35348,148.0
HSPA9,Gene,P38646,3313.0
GNAI1,Gene,P63096,2770.0
TNFSF13B,Gene,Q9Y275,10673.0
IL5RA,Gene,Q01344,3568.0
PTPN23,Gene,Q9H3S7,25930.0
IL13,Gene,P35225,3596.0
PTGS2,Gene,P35354,5743.0
ARF1,Gene,P84077,375.0
CANX,Gene,P27824,821.0
EIF4E3,Gene,Q8N5X7,317649.0
CCR2,Gene,P41597,729230.0
OAS1,Gene,P00973,4938.0
FKBP5,Gene,Q13451,2289.0
HSPA1L,Gene,P34931,3305.0
PTPN13,Gene,Q12923,5783.0
HLA-F,Gene,P30511,3134.0
GBP5,Gene,Q96PP8,115362.0
CXCL10,Gene,P02778,3627.0
LTB4R2,Gene,Q9NPC1,56413.0
TRIM22,Gene,Q8IYM9,10346.0
NPFFR2,Gene,Q9Y5X5,10886.0
GNG13,Gene,Q9P2W3,51764.0
RASGRP2,Gene,Q7LDG7,10235.0
PTPN2,Gene,P17706,5771.0
PTPN2,Gene,P17706-2,
S100B,Gene,P04271,6285.0
YES1,Gene,P07947,7525.0
RORA,Gene,P35398,6095.0
HLA-DPB1,Gene,P04440,3115.0
NUP107,Gene,P57740,57122.0
TAT,Gene,P04608-2,
TAT,Gene,P04609,
GREB1,Gene,Q4ZG55,9687.0
PTPN18,Gene,Q99952,26469.0
IL20RB,Gene,Q6UXL0,53833.0
PSMD14,Gene,O00487,10213.0
SMAD3,Gene,P84022,4088.0
ANXA2,Gene,P07355,302.0
ACE,Gene,,
PTGES3,Gene,Q15185,10728.0
TARBP2,Gene,Q15633,6895.0
LPAR2,Gene,Q9HBW0,9170.0
TNF,Gene,P01375,7124.0
NTRK1,Gene,,
CUL1,Gene,Q13616,8454.0
PSMB3,Gene,P49720,5691.0
RAPGEF1,Gene,Q13905,2889.0
GRK5,Gene,P34947,2869.0
STX1A,Gene,Q16623,6804.0
FLT3LG,Gene,P49771,2323.0
MTAP,Gene,Q13126,4507.0
ADAR,Gene,P55265,103.0
INPP5D,Gene,Q92835,3635.0
HSPA8,Gene,P11142,3312.0
TRIM14,Gene,Q14142,9830.0
PPM1B,Gene,O75688,5495.0
NCK1,Gene,P16333,4690.0
RPS27A,Gene,P62979,6233.0
MIF,Gene,P14174,4282.0
NUP133,Gene,Q8WUM0,55746.0
USP14,Gene,P54578,9097.0
HLA-DRB3,Gene,P79483,3125.0
PSMC4,Gene,P43686,5704.0
IFITM2,Gene,Q01629,10581.0
BTRC,Gene,Q9Y297,8945.0
RGS17,Gene,Q9UGC6,26575.0
HBEGF,Gene,Q99075,1839.0
TACR1,Gene,P25103,6869.0
BATF,Gene,Q16520,10538.0
ERBB4,Gene,Q15303-1,
ERBB4,Gene,Q15303-3,
GRAP2,Gene,O75791,9402.0
TUBB2B,Gene,Q9BVA1,347733.0
IL12RB2,Gene,Q99665,3595.0
IFNA8,Gene,P32881,3445.0
GCG,Gene,P01275,2641.0
IRF9,Gene,Q00978,10379.0
CAMK2G,Gene,Q13555,818.0
TRIM35,Gene,Q9UPQ4,23087.0
MAP3K3,Gene,Q99759,4215.0
STRN,Gene,O43815,6801.0
GNRHR2,Gene,Q96P88,
DAGLB,Gene,Q8NCG7,221955.0
PSMD11,Gene,O00231,5717.0
TAB2,Gene,Q9NYJ8,23118.0
DGKZ,Gene,Q13574,8525.0
NEK2,Gene,,
PDE7A,Gene,,
H3C1,Gene,P68431,8350.0
TRIM17,Gene,Q9Y577,51127.0
NMUR2,Gene,Q9GZQ4,56923.0
EPGN,Gene,Q6UW88,255324.0
PROKR2,Gene,Q8NFJ6,128674.0
TRIM62,Gene,Q9BVG3,55223.0
ARHGEF25,Gene,Q86VW2,115557.0
NOD2,Gene,Q9HC29,64127.0
IL1R1,Gene,P14778,3554.0
ALPK1,Gene,Q96QP1,80216.0
CISH,Gene,Q9NSE2,1154.0
PTPN12,Gene,Q05209,5782.0
CENPX,Gene,A8MT69,201254.0
SNCA,Gene,P37840,6622.0
MYD88,Gene,Q99836,4615.0
S100A12,Gene,P80511,6283.0
HLA-B,Gene,P01889,3106.0
GNG12,Gene,Q9UBI6,55970.0
CYTOKINE SIGNALING,pathway,,
NFKB1,Gene,P19838,4790.0
CHUK,Gene,O15111,1147.0
IFITM1,Gene,P13164,8519.0
PSMB8,Gene,P28062,5696.0
STAT4,Gene,Q14765,6775.0
FANCM,Gene,Q8IYD8,57697.0
RIPK2,Gene,O43353,8767.0
TWIST1,Gene,Q15672,7291.0
EIF2S1,Gene,P05198,1965.0
EGFR,Gene,P00533,1956.0
IFNAR2,Gene,P48551-2,
EIF4E2,Gene,O60573,9470.0
CRK,Gene,P46108,1398.0
XCL2,Gene,Q9UBD3,6846.0
IRS1,Gene,P35568,3667.0
PITPNA,Gene,Q00169,5306.0
IL2RA,Gene,P01589,3559.0
NEDD4,Gene,P46934,4734.0
NR5A2,Gene,O00482,2494.0
TIFA,Gene,Q96CG3,92610.0
TUBA3C,Gene,P0DPH7,7278.0
PSMA1,Gene,P25786,5682.0
EP300,Gene,Q09472,2033.0
F2RL3,Gene,Q96RI0,9002.0
IFIT5,Gene,Q13325,24138.0
NFKBIB,Gene,Q15653,4793.0
CCL20,Gene,P78556,6364.0
VP3,Gene,B1NKT1,
POLR2J,Gene,P52435,5439.0
RASGRP1,Gene,O95267,10125.0
TRAF3,Gene,Q13114,7187.0
ARIH1,Gene,Q9Y4X5,25820.0
GRPR,Gene,P30550,2925.0
PAK1,Gene,,
NMUR1,Gene,Q9HB89,10316.0
CCL11,Gene,P51671,6356.0
SNAP25,Gene,P60880,6616.0
AKT1,Gene,P31749,207.0
AXL,Gene,,
PDE3A,Gene,,
POLR2D,Gene,O15514,5433.0
PLAU,Gene,,
CCL19,Gene,Q99731,6363.0
LIFR,Gene,P42702,3977.0
IL37,Gene,Q9NZH6,27178.0
PRKCA,Gene,P17252,5578.0
FOXA1,Gene,P55317,3169.0
HLA-G,Gene,P17693,3135.0
CASP8,Gene,Q14790,841.0
IL6R,Gene,P08887,3570.0
IL6R,Gene,P08887-2,
FN1,Gene,P02751,2335.0
PSMB7,Gene,Q99436,5695.0
CDK9,Gene,P50750,1025.0
PSMA3,Gene,P25788,5684.0
PIAS1,Gene,O75925,8554.0
GNB2,Gene,P62879,2783.0
IL17C,Gene,Q9P0M4,27189.0
RSAD2,Gene,Q8WXG1,91543.0
IFI6,Gene,P09912,2537.0
STXBP2,Gene,Q15833,6813.0
GGPS1,Gene,,
SIGIRR,Gene,Q6IA17,59307.0
IRAK4,Gene,Q9NWZ3,51135.0
IGHG1,Gene,P01857,
HLA-DQA2,Gene,P01906,3118.0
BIRC2,Gene,Q13490,329.0
DNAJC3,Gene,Q13217,5611.0
GNAT3,Gene,A8MTJ3,346562.0
GPR39,Gene,O43194,2863.0
DGKH,Gene,Q86XP1,160851.0
TFF3,Gene,Q07654,7033.0
KPNA4,Gene,O00629,3840.0
LTB4R,Gene,Q15722,1241.0
IL36B,Gene,Q9NZH7,27177.0
DGKD,Gene,Q16760,8527.0
RAF1,Gene,P04049,5894.0
MLNR,Gene,O43193,2862.0
CAMK2D,Gene,Q13557,817.0
IRS2,Gene,Q9Y4H2,8660.0
KCTD6,Gene,Q8NC69,200845.0
NCOA1,Gene,Q15788,8648.0
MCL1,Gene,Q07820,4170.0
SOCS1,Gene,O15524,8651.0
PIK3CA,Gene,P42336,5290.0
NUP188,Gene,Q5SRE5,23511.0
H2AC18,Gene,Q6FI13,723790.0
TUBB4A,Gene,P04350,10382.0
RPS6KA3,Gene,P51812,6197.0
MAP2K3,Gene,P46734,5606.0
CSF3,Gene,P09919,1440.0
MMP7,Gene,P09237,4316.0
LCP1,Gene,P13796,3936.0
PDE12,Gene,Q6L8Q7,201626.0
IFIT1,Gene,P09914,3434.0
CRLF1,Gene,O75462,9244.0
CSF2RB,Gene,P32927,1439.0
TRIM25,Gene,Q14258,7706.0
EIF4E,Gene,P06730,1977.0
POLR2E,Gene,P19388,5434.0
PSMB6,Gene,P28072,5694.0
GCGR,Gene,P47871,2642.0
CCL4,Gene,P13236,388372.0
MAPK14,Gene,Q16539,1432.0
IL7R,Gene,P16871,3575.0
IFNB1,Gene,P01574,3456.0
CSF1,Gene,P09603,1435.0
CCL3L1,Gene,P16619,414062.0
CSF1R,Gene,P07333,1436.0
PSMC1,Gene,P62191,5700.0
EGR1,Gene,P18146,1958.0
TUBAL3,Gene,A6NHL2,79861.0
HLA-E,Gene,P13747,3133.0
IL27RA,Gene,Q6UWB1,9466.0
STX3,Gene,Q13277,6809.0
PIK3CD,Gene,O00329,5293.0
IL26,Gene,Q9NPH9,55801.0
MID1,Gene,O15344,4281.0
ZDHHC7,Gene,Q9NXF8,55625.0
ADRA1D,Gene,P25100,146.0
IL23R,Gene,Q5VWK5,149233.0
PPP5C,Gene,P53041,5536.0
HSPA2,Gene,P54652,3306.0
UBB,Gene,P0CG47,7314.0
UTS2B,Gene,Q765I0,257313.0
BLNK,Gene,Q8WV28,29760.0
HLA-A,Gene,P04439,3105.0
CLCF1,Gene,Q9UBD9,23529.0
TBP,Gene,P20226,6908.0
GBP7,Gene,Q8N8V2,388646.0
HLA-DRA,Gene,P01903,3122.0
H2BC5,Gene,P58876,3017.0
H3-3A,Gene,P84243,3020.0
H2BC15,Gene,Q99877,8341.0
CNN2,Gene,Q99439,1265.0
FCGR1A,Gene,P12314,2209.0
UBA52,Gene,P62987,7311.0
HRH1,Gene,P35367,3269.0
IGHG4,Gene,P01861,
IFNA17,Gene,P01571,3451.0
BECN1,Gene,Q14457,8678.0
P4HB,Gene,P07237,5034.0
TRH,Gene,P20396,7200.0
TNFSF18,Gene,Q9UNG2,8995.0
HNRNPF,Gene,P52597,3185.0
EDARADD,Gene,Q8WWZ3,128178.0
PRKCI,Gene,,
TUBB3,Gene,Q13509,10381.0
PSMD1,Gene,Q99460,5707.0
MEF2A,Gene,Q02078,4205.0
MLN,Gene,P12872,4295.0
PPP2R5A,Gene,Q15172,5525.0
EIF4G2,Gene,P78344,1982.0
GH1,Gene,P01241,2688.0
TUBA3E,Gene,Q6PEY2,112714.0
MCHR1,Gene,Q99705,2847.0
IFNA21,Gene,P01568,3452.0
TRIM10,Gene,Q9UDY6,10107.0
IFNL1,Gene,Q8IU54,282618.0
NRIP1,Gene,P48552,8204.0
IFNA7,Gene,P01567,3444.0
CCL2,Gene,P13500,6347.0
KISS1,Gene,Q15726,3814.0
AVPR1A,Gene,P37288,552.0
INTERFERON GAMMA,pathway,,
PSMA2,Gene,P25787,5683.0
IL13RA1,Gene,P78552,3597.0
CRKL,Gene,P46109,1399.0
IRF1,Gene,P10914,3659.0
PPP2CB,Gene,P62714,5516.0
ESR1,Gene,P03372,2099.0
ESR1,Gene,P03372-4,
ESR1,Gene,P03372-3,
UBE2N,Gene,P61088,7334.0
BCL2,Gene,P10415,596.0
IL17RC,Gene,Q8NAC3,84818.0
CFL1,Gene,P23528,1072.0
TUBA1B,Gene,P68363,10376.0
MT-RNR2,Gene,Q8IVG9,
FFAR4,Gene,Q5NUL3,338557.0
NMBR,Gene,P28336,4829.0
IDH1,Gene,,
S1PR3,Gene,Q99500,1903.0
HIF1A,Gene,Q16665,3091.0
RNASEL,Gene,Q05823,6041.0
CA1,Gene,P00915,759.0
HSP90B1,Gene,P14625,7184.0
IFNA10,Gene,P01566,3446.0
IL36RN,Gene,Q9UBH0,26525.0
UTS2R,Gene,Q9UKP6,2837.0
ADRM1,Gene,Q16186,11047.0
DUS2,Gene,Q9NX74,54920.0
IL3RA,Gene,P26951,3563.0
RGS13,Gene,O14921,6003.0
TNFRSF8,Gene,P28908,943.0
MEF2C,Gene,Q06413,4208.0
RGS3,Gene,P49796,5998.0
HTR2A,Gene,P28223,3356.0
PLCB3,Gene,Q01970,5331.0
KDM1A,Gene,O60341,23028.0
TRIM34,Gene,Q9BYJ4,53840.0
VIM,Gene,P08670,7431.0
AIP,Gene,O00170,9049.0
CCL3,Gene,P10147,6348.0
MED1,Gene,Q15648,5469.0
GBP6,Gene,Q6ZN66,163351.0
MYB,Gene,P10242,4602.0
TRIM29,Gene,Q14134,23650.0
MX2,Gene,P20592,4600.0
STAT3,Gene,P40763,6774.0
GRB2,Gene,P62993-1,
GRB2,Gene,P62993,2885.0
CASP3,Gene,P42574,836.0
POLR2L,Gene,P62875,5441.0
PTPRZ1,Gene,P23471,5803.0
FOXO1,Gene,Q12778,2308.0
FPR1,Gene,P21462,2357.0
HLA-DRB5,Gene,Q30154,3127.0
IL31,Gene,Q6EBC2,386653.0
FBXW11,Gene,Q9UKB1,23291.0
PROK1,Gene,P58294,84432.0
PDCD4,Gene,Q53EL6,27250.0
PRKCQ,Gene,Q04759,5588.0
IFNG,Gene,P01579,3458.0
UBA7,Gene,P41226,7318.0
PSMB1,Gene,P20618,5689.0
HTR2B,Gene,P41595,3357.0
GNGT1,Gene,P63211,2792.0
LPAR5,Gene,Q9H1C0,57121.0
CAMK2A,Gene,Q9UQM7,815.0
GSDMD,Gene,P57764,79792.0
IL18RAP,Gene,O95256,8807.0
SOCS5,Gene,O75159,9655.0
IL18R1,Gene,Q13478,8809.0
TIMP1,Gene,P01033,7076.0
CCR5,Gene,P51681,1234.0
TNFSF9,Gene,P41273,8744.0
CITED1,Gene,Q99966,4435.0
CACNA1G,Gene,,
IL27,Gene,Q8NEV9,246778.0
IL22,Gene,Q9GZX6,50616.0
KDM4B,Gene,O94953,23030.0
ABL2,Gene,P42684,27.0
GNA11,Gene,P29992,2767.0
MAP2K6,Gene,P52564,5608.0
GNB4,Gene,Q9HAV0,59345.0
TUBA1A,Gene,Q71U36,7846.0
ATR,Gene,,
PROKR1,Gene,Q8TCW9,10887.0
TRIM26,Gene,Q12899,7726.0
XCR1,Gene,P46094,2829.0
IL23A,Gene,Q9NPF7,51561.0
FANCF,Gene,Q9NPI8,2188.0
AGO3,Gene,Q9H9G7,192669.0
KPNA3,Gene,O00505,3839.0
SERPINB2,Gene,P05120,5055.0
PRLR,Gene,P16471,5618.0
TUBA4A,Gene,P68366,7277.0
AVPR1B,Gene,P47901,553.0
RUNX1,Gene,Q01196,861.0
PTGER1,Gene,P34995,5731.0
IL11,Gene,P20809,3589.0
IL31RA,Gene,Q8NI17,133396.0
GBP3,Gene,Q9H0R5,2635.0
IFI30,Gene,P13284,10437.0
