#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHCTF1	CCNB2	9606.ENSP00000355465	9606.ENSP00000288207	0	0	0	0	0.062	0	0.400	0.066	0.428
CXCL8	IFNA1	9606.ENSP00000306512	9606.ENSP00000276927	0	0	0	0	0.055	0	0	0.774	0.777
CXCL8	TLR3	9606.ENSP00000306512	9606.ENSP00000296795	0	0	0	0	0	0	0	0.718	0.718
CXCL8	MMP3	9606.ENSP00000306512	9606.ENSP00000299855	0	0	0	0	0.127	0	0	0.804	0.821
CXCL8	EXOSC8	9606.ENSP00000306512	9606.ENSP00000374354	0	0	0	0	0.042	0	0.400	0	0.400
CXCL8	G0S2	9606.ENSP00000306512	9606.ENSP00000355996	0	0	0	0	0.326	0	0	0.183	0.425
CXCL8	FUT4	9606.ENSP00000306512	9606.ENSP00000351602	0	0	0	0	0.062	0	0	0.434	0.446
CXCL8	IFNL2	9606.ENSP00000306512	9606.ENSP00000333639	0	0	0	0	0	0	0	0.449	0.449
CXCL8	KLF6	9606.ENSP00000306512	9606.ENSP00000419923	0	0	0	0	0.097	0.292	0	0.222	0.459
CXCL8	FPR3	9606.ENSP00000306512	9606.ENSP00000341821	0	0	0	0	0.074	0	0	0.457	0.476
CXCL8	SERPINB2	9606.ENSP00000306512	9606.ENSP00000401645	0	0	0	0	0.224	0	0	0.375	0.494
CXCL8	NR4A1	9606.ENSP00000306512	9606.ENSP00000440864	0	0	0	0	0.075	0	0	0.508	0.525
CXCL8	NFKBIZ	9606.ENSP00000306512	9606.ENSP00000325663	0	0	0	0	0.360	0	0	0.356	0.570
CXCL8	IFNA2	9606.ENSP00000306512	9606.ENSP00000369554	0	0	0	0	0.055	0	0	0.666	0.670
CXCL8	LPAR6	9606.ENSP00000306512	9606.ENSP00000367691	0	0	0	0	0.042	0	0.650	0.115	0.677
CXCL8	NFKB2	9606.ENSP00000306512	9606.ENSP00000358983	0	0	0	0	0.159	0	0	0.779	0.806
CYB5B	UQCRFS1	9606.ENSP00000308430	9606.ENSP00000306397	0	0	0	0	0.149	0.225	0	0.166	0.402
CYSLTR2	GNG13	9606.ENSP00000282018	9606.ENSP00000248150	0	0	0	0	0	0.120	0.500	0.078	0.558
CYSLTR2	LPAR6	9606.ENSP00000282018	9606.ENSP00000367691	0	0	0	0.770	0.067	0	0.400	0.132	0.472
CYSLTR2	GNG8	9606.ENSP00000282018	9606.ENSP00000300873	0	0	0	0	0	0.120	0.500	0	0.541
DRAM1	MAP1LC3B	9606.ENSP00000258534	9606.ENSP00000498476	0	0	0	0	0.093	0	0	0.479	0.508
EEF1A1	H2BC1	9606.ENSP00000339063	9606.ENSP00000274764	0	0	0	0	0	0	0	0.520	0.520
EEF1A1	MAP1LC3B	9606.ENSP00000339063	9606.ENSP00000498476	0	0	0	0	0.358	0.163	0	0.099	0.473
EEF1A1	HMGN2	9606.ENSP00000339063	9606.ENSP00000355228	0	0	0	0	0.417	0	0	0.153	0.486
EEF1A1	NR4A1	9606.ENSP00000339063	9606.ENSP00000440864	0	0	0	0	0	0.299	0	0.370	0.539
EEF1A1	HSPD1	9606.ENSP00000339063	9606.ENSP00000340019	0	0	0	0	0.220	0	0	0.546	0.631
EEF1A1	RPS18	9606.ENSP00000339063	9606.ENSP00000393241	0	0	0	0	0.655	0.810	0.500	0.646	0.986
ESRRA	HIVEP3	9606.ENSP00000384851	9606.ENSP00000361664	0	0	0	0	0	0.067	0.500	0.059	0.523
ESRRA	KLF4	9606.ENSP00000384851	9606.ENSP00000363804	0	0	0	0	0.058	0.067	0	0.691	0.705
EXOSC8	NOL11	9606.ENSP00000374354	9606.ENSP00000253247	0	0	0	0	0.200	0	0.400	0	0.500
EXOSC8	RPS18	9606.ENSP00000374354	9606.ENSP00000393241	0	0	0	0	0.109	0.429	0	0	0.469
FAM20A	FSTL3	9606.ENSP00000468308	9606.ENSP00000166139	0	0	0	0	0.042	0	0.400	0	0.400
FOSB	PPP1R15A	9606.ENSP00000245919	9606.ENSP00000200453	0	0	0	0	0.487	0	0	0.298	0.624
FOSB	NFKBIA	9606.ENSP00000245919	9606.ENSP00000216797	0	0	0	0	0.125	0.053	0	0.360	0.423
FOSB	KLF6	9606.ENSP00000245919	9606.ENSP00000419923	0	0	0	0	0.192	0.066	0	0.346	0.464
FOSB	NFKBIZ	9606.ENSP00000245919	9606.ENSP00000325663	0	0	0	0	0.304	0.053	0	0.315	0.509
FOSB	H2BC17	9606.ENSP00000245919	9606.ENSP00000477527	0	0	0	0	0	0.072	0.500	0	0.516
FOSB	H2BC1	9606.ENSP00000245919	9606.ENSP00000274764	0	0	0	0	0	0.072	0.500	0	0.516
FOSB	H2BC4	9606.ENSP00000245919	9606.ENSP00000321744	0	0	0	0	0.044	0.072	0.500	0.081	0.537
FOSB	KLF4	9606.ENSP00000245919	9606.ENSP00000363804	0	0	0	0	0.413	0.066	0	0.368	0.623
FOSB	IER2	9606.ENSP00000245919	9606.ENSP00000465617	0	0	0	0	0.434	0	0	0.656	0.797
FOSB	NR4A1	9606.ENSP00000245919	9606.ENSP00000440864	0	0	0	0	0.632	0.068	0	0.750	0.907
FOSB	JUND	9606.ENSP00000245919	9606.ENSP00000252818	0	0	0	0	0.173	0.964	0.900	0.998	0.999
FUT4	KLF4	9606.ENSP00000351602	9606.ENSP00000363804	0	0	0	0	0.060	0.045	0	0.645	0.653
GNG13	OR4A5	9606.ENSP00000248150	9606.ENSP00000367664	0	0	0	0	0	0.120	0.650	0	0.678
GNG13	OR10G8	9606.ENSP00000248150	9606.ENSP00000389072	0	0	0	0	0	0.120	0.650	0	0.678
GNG13	OR4C12	9606.ENSP00000248150	9606.ENSP00000334418	0	0	0	0	0	0.120	0.650	0.048	0.681
GNG13	OR10A5	9606.ENSP00000248150	9606.ENSP00000299454	0	0	0	0	0.056	0.120	0.650	0.042	0.684
GNG13	OR10H2	9606.ENSP00000248150	9606.ENSP00000306095	0	0	0	0	0.084	0.120	0.650	0	0.693
GNG13	GNG8	9606.ENSP00000248150	9606.ENSP00000300873	0	0	0	0	0	0	0.540	0.492	0.756
H2AC12	H2BC1	9606.ENSP00000366679	9606.ENSP00000274764	0	0.058	0	0	0.243	0.178	0.400	0.203	0.669
H2AC12	H2BC4	9606.ENSP00000366679	9606.ENSP00000321744	0	0.018	0	0	0.334	0.178	0.400	0.246	0.719
H2AC12	H2BC17	9606.ENSP00000366679	9606.ENSP00000477527	0	0.018	0	0	0.415	0.562	0.400	0.240	0.867
H2BC1	JUND	9606.ENSP00000274764	9606.ENSP00000252818	0	0	0	0	0	0.062	0.500	0	0.510
H2BC1	TAF1A	9606.ENSP00000274764	9606.ENSP00000339976	0	0	0	0	0	0	0.400	0	0.400
H2BC1	H2BC4	9606.ENSP00000274764	9606.ENSP00000321744	0	0	0.051	0.978	0	0	0.400	0.048	0.411
H2BC1	H2BC17	9606.ENSP00000274764	9606.ENSP00000477527	0	0	0.051	0.978	0	0.282	0.400	0.043	0.556
H2BC1	POLR2J	9606.ENSP00000274764	9606.ENSP00000292614	0	0	0	0	0	0.167	0.500	0	0.565
H2BC17	JUND	9606.ENSP00000477527	9606.ENSP00000252818	0	0	0	0	0.042	0.062	0.500	0	0.511
H2BC17	POLR2J	9606.ENSP00000477527	9606.ENSP00000292614	0	0	0	0	0.067	0.167	0.500	0	0.577
H2BC17	H2BC4	9606.ENSP00000477527	9606.ENSP00000321744	0	0	0.048	0.984	0.393	0.850	0.400	0.044	0.941
H2BC17	TAF1A	9606.ENSP00000477527	9606.ENSP00000339976	0	0	0	0	0	0	0.400	0	0.400
H2BC4	JUND	9606.ENSP00000321744	9606.ENSP00000252818	0	0	0	0	0	0.062	0.500	0.060	0.520
H2BC4	POLR2J	9606.ENSP00000321744	9606.ENSP00000292614	0	0	0	0	0.056	0.167	0.500	0	0.572
H2BC4	TAF1A	9606.ENSP00000321744	9606.ENSP00000339976	0	0	0	0	0	0	0.400	0	0.400
HCAR2	HCAR3	9606.ENSP00000375066	9606.ENSP00000436714	0	0	0.047	0.986	0.999	0	0.500	0.394	0.999
HMGN2	MRPS35	9606.ENSP00000355228	9606.ENSP00000081029	0	0	0	0	0.135	0.527	0	0.044	0.574
HMGN2	RPS18	9606.ENSP00000355228	9606.ENSP00000393241	0.105	0	0	0	0.696	0.744	0	0.251	0.940
HSPD1	UQCRFS1	9606.ENSP00000340019	9606.ENSP00000306397	0.044	0	0	0	0.074	0.096	0	0.634	0.668
HSPD1	PAM16	9606.ENSP00000340019	9606.ENSP00000315693	0	0	0	0	0.114	0	0.500	0.136	0.584
HSPD1	MAP1LC3B	9606.ENSP00000340019	9606.ENSP00000498476	0	0	0	0	0.130	0.186	0	0.241	0.416
IER2	IER5	9606.ENSP00000465617	9606.ENSP00000356549	0	0	0	0.689	0.227	0	0	0.320	0.452
IER2	NR4A1	9606.ENSP00000465617	9606.ENSP00000440864	0	0	0	0	0.396	0	0	0.474	0.669
IFNA1	NFKBIA	9606.ENSP00000276927	9606.ENSP00000216797	0	0	0	0	0	0	0	0.529	0.529
IFNA1	IFNA2	9606.ENSP00000276927	9606.ENSP00000369554	0	0	0.052	0.977	0.444	0	0.400	0.062	0.663
IFNA1	IFNL2	9606.ENSP00000276927	9606.ENSP00000333639	0	0	0	0	0.110	0	0	0.765	0.781
IFNA1	TLR3	9606.ENSP00000276927	9606.ENSP00000296795	0	0	0	0	0	0	0	0.897	0.897
IFNA2	TLR3	9606.ENSP00000369554	9606.ENSP00000296795	0	0	0	0	0	0	0	0.778	0.778
IFNA2	IFNL2	9606.ENSP00000369554	9606.ENSP00000333639	0	0	0	0	0.085	0	0	0.819	0.827
IFNL2	TLR3	9606.ENSP00000333639	9606.ENSP00000296795	0	0	0	0	0	0	0	0.578	0.578
JUND	NFKBIA	9606.ENSP00000252818	9606.ENSP00000216797	0	0	0	0	0.088	0	0	0.408	0.438
JUND	RELB	9606.ENSP00000252818	9606.ENSP00000221452	0	0	0	0	0.084	0.093	0	0.417	0.474
JUND	NFKB2	9606.ENSP00000252818	9606.ENSP00000358983	0	0	0	0	0.071	0	0	0.386	0.406
JUND	KLF4	9606.ENSP00000252818	9606.ENSP00000363804	0	0	0	0	0.179	0.091	0	0.315	0.444
JUND	KLF6	9606.ENSP00000252818	9606.ENSP00000419923	0	0	0	0	0.179	0.091	0	0.356	0.478
JUND	NR4A1	9606.ENSP00000252818	9606.ENSP00000440864	0	0	0	0	0.151	0.071	0	0.455	0.533
KCTD4	WDFY2	9606.ENSP00000368402	9606.ENSP00000298125	0	0	0	0	0	0	0	0.411	0.411
KLF4	SMAD7	9606.ENSP00000363804	9606.ENSP00000262158	0	0	0	0	0.115	0.067	0	0.376	0.440
KLF4	NR4A1	9606.ENSP00000363804	9606.ENSP00000440864	0	0	0	0	0.256	0.052	0	0.381	0.525
KLF4	KLF6	9606.ENSP00000363804	9606.ENSP00000419923	0	0	0	0.813	0.236	0.292	0	0.473	0.690
KLF6	PPP1R15A	9606.ENSP00000419923	9606.ENSP00000200453	0	0	0	0	0.417	0	0	0.232	0.533
KLF6	NFKBIA	9606.ENSP00000419923	9606.ENSP00000216797	0	0	0	0	0.228	0.328	0	0.234	0.568
KLF6	RELB	9606.ENSP00000419923	9606.ENSP00000221452	0	0	0	0	0.073	0.095	0	0.378	0.432
KLF6	NFKBIZ	9606.ENSP00000419923	9606.ENSP00000325663	0	0	0	0	0.253	0.091	0	0.479	0.615
KLF6	NFKB2	9606.ENSP00000419923	9606.ENSP00000358983	0	0	0	0	0.058	0.091	0	0.460	0.497
MAP1LC3B	NFKBIA	9606.ENSP00000498476	9606.ENSP00000216797	0	0	0	0	0.065	0.096	0	0.375	0.426
MMP3	NFKBIA	9606.ENSP00000299855	9606.ENSP00000216797	0	0	0	0	0	0	0	0.513	0.513
MMP3	SERPINB2	9606.ENSP00000299855	9606.ENSP00000401645	0	0	0	0	0.125	0	0	0.348	0.405
MRPS35	RPS18	9606.ENSP00000081029	9606.ENSP00000393241	0	0	0	0	0.142	0.935	0	0	0.941
NDUFB1	UQCRFS1	9606.ENSP00000483888	9606.ENSP00000306397	0	0	0	0	0.337	0.855	0	0.280	0.925
NDUFB1	NDUFB3	9606.ENSP00000483888	9606.ENSP00000407336	0	0	0	0	0.560	0.941	0.900	0.683	0.999
NDUFB3	UQCRFS1	9606.ENSP00000407336	9606.ENSP00000306397	0	0	0	0	0.753	0.855	0.172	0.414	0.980
NFKB2	NFKBIA	9606.ENSP00000358983	9606.ENSP00000216797	0	0	0.108	0.712	0.174	0.856	0.900	0.640	0.995
NFKB2	RELB	9606.ENSP00000358983	9606.ENSP00000221452	0	0	0	0.733	0.821	0.999	0.900	0.987	0.999
NFKB2	TLR3	9606.ENSP00000358983	9606.ENSP00000296795	0	0	0	0	0	0.093	0	0.398	0.430
NFKB2	NFKBIZ	9606.ENSP00000358983	9606.ENSP00000325663	0	0	0	0.574	0.123	0.423	0	0.692	0.830
NFKBIA	PPP1R15A	9606.ENSP00000216797	9606.ENSP00000200453	0	0	0	0	0.256	0.159	0	0.248	0.488
NFKBIA	SMAD7	9606.ENSP00000216797	9606.ENSP00000262158	0	0	0	0	0.088	0.046	0	0.374	0.409
NFKBIA	RNF183	9606.ENSP00000216797	9606.ENSP00000419454	0	0	0	0	0	0.314	0	0.202	0.429
NFKBIA	TLR3	9606.ENSP00000216797	9606.ENSP00000296795	0	0	0	0	0.083	0.093	0	0.627	0.663
NFKBIA	NFKBIZ	9606.ENSP00000216797	9606.ENSP00000325663	0	0	0.104	0.640	0.476	0	0	0.571	0.781
NFKBIA	RELB	9606.ENSP00000216797	9606.ENSP00000221452	0	0.001	0	0	0.181	0.861	0	0.963	0.995
NFKBIZ	RELB	9606.ENSP00000325663	9606.ENSP00000221452	0	0	0	0	0.120	0.098	0	0.806	0.832
NME3	SPATA20	9606.ENSP00000219302	9606.ENSP00000006658	0	0	0	0	0.083	0	0.385	0	0.411
NME3	RPS18	9606.ENSP00000219302	9606.ENSP00000393241	0.042	0	0	0	0.396	0	0.149	0.069	0.480
NOL11	RPS18	9606.ENSP00000253247	9606.ENSP00000393241	0	0	0	0	0.076	0.800	0	0	0.807
NR4A1	SMAD7	9606.ENSP00000440864	9606.ENSP00000262158	0	0	0	0	0.056	0.292	0	0.253	0.457
PPP1R15A	SMAD7	9606.ENSP00000200453	9606.ENSP00000262158	0	0	0	0	0.055	0.292	0.500	0.856	0.945
PPP1R15A	UQCRFS1	9606.ENSP00000200453	9606.ENSP00000306397	0.111	0	0	0	0.691	0.743	0.585	0.280	0.975
RELB	TLR3	9606.ENSP00000221452	9606.ENSP00000296795	0	0	0	0	0.062	0.125	0	0.452	0.511
RELB	TNFSF8	9606.ENSP00000221452	9606.ENSP00000223795	0	0	0	0	0.130	0	0	0.500	0.546
RPS18	RRP12	9606.ENSP00000393241	9606.ENSP00000446184	0	0	0	0	0.067	0.810	0	0.218	0.850
